Team,Pts,Opp Pts,Avg. Mrg,Pace,Off Eff,Def Eff,Net Rtg,EFg%,Opp EFg%,Ts%,Opp Ts%,Win,Loss,Reb Rate,Eff Pts,Opp Eff Pts,Future Wins,Team EFg%,Opp EFg%,Team FT Rate,Opp FT Rate%,Team TO Rate,Opp TO Rate,Team Off. Reb.%,Opp Reb Rate%,Pts,Opp. Pts,3PTM,Opp. 3PTM,OReb,Opp. OReb,DReb,Opp. DReb,Ast,Opp. Ast,Stl,Opp. Stl,Blk,Opp. Blk,TO,Opp. TO,Foul,Opp. Foul,4 Point Plays,'And one' Plays,Avg. Home Attendance,Avg. Away Attendance,Defensive Goaltending Vio.,Kicked Ball Vio.,Ejections,Won Without Trailing,Lost Without Taking Lead,Player Signings,Large Player Signings,Draft Picks,Top 10 Draft Picks,Trades,Seed Number,Future Seed Number,Playoff,Future Playoff,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Dist.,2P,0--3,3--10,10--16,16 <3,3P,2P,0--3,3--10,10--16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Washington Wizards,98.83,99.16,-0.33,89.5,109.17,109.39,-0.22,0.489,0.513,0.535,0.552,43,39,50.24,109.39,113.05,19,0.489,0.513,0.233,0.217,0.139,0.148,0.289,0.272,109.17,109.39,7.75,9.19,13.57,12.11,32.39,33.34,21.65,26.34,8.51,7.12,5.27,4.84,13.9,14.83,21.64,22.28,2,140,17962,16774,17,6,1,3,5,2,0,2,0,1,5,15,1,0,33.6,37.2,82.6,0.451,6.9,19.9,0.348,20.9,26.6,0.785,11.7,15.6,12.4,30.5,42.9,20.9,7.9,4.2,102.3,13,0.759,0.285,0.145,0.098,0.231,0.241,0.475,0.633,0.384,0.353,0.388,0.356,0.474,0.043,283,0.805,0.181,0.38,7,0
Utah Jazz,106.22,99.34,6.88,93.28,113.72,106.54,7.18,0.528,0.501,0.573,0.553,54,28,51.95,125.17,105.39,48,0.528,0.501,0.265,0.294,0.153,0.165,0.295,0.259,113.72,106.54,5.31,6.62,12.3,11.04,31.47,29.51,28.27,21.31,9.36,8.1,4.64,5.49,15.26,16.51,25.72,24.73,2,162,19908,17216,20,32,1,3,2,0,0,3,0,1,4,8,1,1,32.2,42.9,83.5,0.514,4.9,12.9,0.377,22.5,29.1,0.772,14.9,19.7,11,30.5,41.5,30.9,8.7,4.2,113.2,11.2,0.834,0.375,0.099,0.1,0.26,0.166,0.522,0.641,0.425,0.416,0.429,0.372,0.629,0.057,341,0.882,0.195,0.404,19,0
Toronto Raptors,100.18,97.28,2.9,90.02,110.45,107.2,3.24,0.511,0.505,0.551,0.544,41,41,49.05,116.5,109.12,33,0.511,0.505,0.2,0.205,0.123,0.147,0.234,0.25,110.45,107.2,7.69,8.32,10.62,11.15,33.56,34.71,26.26,24.15,7.66,6.32,4.52,4.48,12.34,14.68,21.46,20.27,1,104,19435,16653,24,27,2,2,2,2,0,1,0,1,6,13,1,0,30.6,39.5,81.3,0.486,6.5,16.2,0.402,17.7,21.2,0.836,10.9,16.8,9.1,31.3,40.4,24.3,6.8,4.8,103.3,13.6,0.783,0.272,0.085,0.111,0.314,0.217,0.489,0.603,0.443,0.426,0.425,0.392,0.549,0.053,317,0.944,0.311,0.412,19,3
Seattle SuperSonics,97.55,106.31,-8.76,96.09,100.76,110.01,-9.25,0.467,0.503,0.509,0.542,20,62,50.3,106.71,122.94,23,0.467,0.503,0.204,0.215,0.158,0.13,0.268,0.263,100.76,110.01,3.94,7.66,12.23,12.13,33.86,33.51,22.02,25.2,6.69,8.91,5.04,5.55,15.75,13.04,21.16,20.32,1,138,13355,17159,26,40,0,2,3,0,0,6,1,4,15,13,0,0,30.1,39.2,87,0.451,3.1,9.5,0.324,18.4,23.6,0.781,15.9,18.6,11.6,33.1,44.6,21.2,6.8,4.9,99.9,11.6,0.866,0.287,0.159,0.144,0.277,0.134,0.462,0.594,0.39,0.377,0.408,0.333,0.527,0.057,363,0.85,0.243,0.377,5,0
San Antonio Spurs,95.37,90.57,4.79,88.73,107.21,102.09,5.12,0.504,0.477,0.543,0.517,56,26,50.6,108.39,99.35,54,0.504,0.477,0.21,0.201,0.135,0.139,0.234,0.229,107.21,102.09,8.14,5.77,10.57,10.67,35.81,34.74,23.55,20.48,7.14,7.78,4.62,4.96,13.45,13.87,21.07,22.34,3,97,18565,17955,7,30,3,2,0,2,0,3,0,1,3,3,1,1,29.5,38.3,80,0.479,5.5,14.5,0.381,17.1,23.2,0.737,11.5,16.5,9.7,32.9,42.6,21.5,5.4,4.4,99.3,13.2,0.749,0.248,0.157,0.116,0.227,0.251,0.487,0.649,0.401,0.402,0.413,0.369,0.498,0.017,94,0.928,0.414,0.401,11,0
Sacramento Kings,102.54,104.79,-2.26,94.5,107.68,110.1,-2.41,0.503,0.51,0.556,0.555,38,44,48.88,109.9,117.74,17,0.503,0.51,0.276,0.256,0.161,0.154,0.252,0.283,107.68,110.1,6.53,7.65,10.62,12.43,31.46,31.58,20.07,24.06,8.34,8.47,4.28,5.79,16.11,15.43,23.55,24.24,3,171,14151,17210,13,30,3,2,5,1,0,3,0,1,11,15,0,0,34.4,38.1,80.6,0.473,5.8,15.2,0.382,23.9,29.6,0.809,15.2,20.7,10.4,30.1,40.5,21.3,7.9,3.6,105.9,12,0.792,0.33,0.124,0.098,0.239,0.208,0.488,0.599,0.391,0.397,0.423,0.373,0.451,0.044,273,0.833,0.267,0.389,8,0
Portland Trailblazers,95.37,96.34,-0.98,87.77,107.43,108.55,-1.11,0.489,0.491,0.532,0.532,41,41,49.39,105.76,107,54,0.489,0.491,0.216,0.212,0.137,0.136,0.268,0.282,107.43,108.55,7.39,7.32,12.38,13.15,33.49,33.87,23.81,23.55,6.25,6.71,4.95,4.14,13.67,13.62,22.56,22.75,5,114,19550,16700,38,15,2,3,4,3,0,4,0,5,10,4,0,1,31.1,36.4,79.5,0.458,6.4,16.7,0.382,15.5,20.6,0.754,11.4,18.5,11.4,29.6,41,22.3,5.2,4.4,94.7,14.1,0.782,0.214,0.137,0.121,0.311,0.218,0.468,0.603,0.43,0.407,0.416,0.377,0.516,0.048,276,0.92,0.379,0.409,29,1
Phoenix Suns,110.07,105.02,5.05,96.17,113.88,108.31,5.57,0.551,0.488,0.59,0.524,55,27,48.6,130.6,112.09,46,0.551,0.488,0.228,0.191,0.144,0.132,0.224,0.291,113.88,108.31,8.76,5.9,9.08,13.85,33.85,31.42,27.61,20.21,6.71,7.56,6.54,3.91,14.37,13.22,20.6,21.77,0,173,18422,18047,33,25,3,5,0,2,0,2,0,2,6,9,1,0,34,43.2,82.9,0.521,8.5,21.1,0.405,21.1,26.6,0.795,14.3,18.5,8.8,34.8,43.6,28.6,6.6,6.4,116,12.7,0.74,0.31,0.116,0.102,0.211,0.26,0.538,0.671,0.44,0.439,0.444,0.393,0.6,0.066,422,0.818,0.322,0.401,5,0
Philadelphia 76ers,96.62,96.21,0.42,90.33,106.56,106.22,0.34,0.482,0.504,0.522,0.543,40,42,51.66,107.48,107.98,41,0.482,0.504,0.227,0.205,0.15,0.165,0.318,0.28,106.56,106.22,4.06,7.5,14.35,12.43,31.88,30.87,22.5,25.62,9.58,7.41,5.38,5.66,14.96,16.51,21.79,23,1,125,14870,17232,47,32,0,2,2,4,1,1,0,1,7,6,1,1,32.3,38.2,81.1,0.472,2.9,9.6,0.301,18.8,26.9,0.7,14.4,17.8,13.3,30.7,43.9,22.3,8.4,5,98.1,10.9,0.857,0.359,0.116,0.154,0.227,0.143,0.483,0.614,0.402,0.396,0.378,0.317,0.516,0.074,459,0.831,0.261,0.367,23,1
Orlando Magic,104.48,99.01,5.46,92.83,111.97,106.12,5.86,0.537,0.484,0.575,0.526,52,30,50.19,114.77,108.54,59,0.537,0.484,0.256,0.217,0.148,0.136,0.234,0.252,111.97,106.12,10.47,6.74,10.04,11.76,34.99,32.92,22.3,23.06,6.8,7.59,4.35,4.5,14.82,13.63,22.06,24.81,1,152,17301,17541,60,13,2,2,3,2,0,1,0,1,3,3,1,1,34,39.8,81.4,0.489,10.5,26.3,0.398,22.2,31.3,0.71,15,19,9.8,35.4,45.2,21.7,6.5,4.3,112.3,12.8,0.678,0.325,0.126,0.096,0.132,0.322,0.516,0.635,0.414,0.405,0.401,0.386,0.446,0.071,423,0.873,0.334,0.413,18,0
