Team,Pts,Opp Pts,Avg. Mrg,Pace,Off Eff,Def Eff,Net Rtg,EFg%,Opp EFg%,Ts%,Opp Ts%,Win,Loss,Reb Rate,Eff Pts,Opp Eff Pts,Future Wins,Team EFg%,Opp EFg%,Team FT Rate,Opp FT Rate%,Team TO Rate,Opp TO Rate,Team Off. Reb.%,Opp Reb Rate%,Pts,Opp. Pts,3PTM,Opp. 3PTM,OReb,Opp. OReb,DReb,Opp. DReb,Ast,Opp. Ast,Stl,Opp. Stl,Blk,Opp. Blk,TO,Opp. TO,Foul,Opp. Foul,4 Point Plays,'And one' Plays,Avg. Home Attendance,Avg. Away Attendance,Defensive Goaltending Vio.,Kicked Ball Vio.,Ejections,Won Without Trailing,Lost Without Taking Lead,Player Signings,Large Player Signings,Draft Picks,Top 10 Draft Picks,Trades,Seed Number,Future Seed Number,Playoff,Future Playoff,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Dist.,2P,0--3,3--10,10--16,16 <3,3P,2P,0--3,3--10,10--16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Washington Wizards,97.28,104.68,-7.4,93.44,102.81,110.66,-7.85,0.471,0.512,0.514,0.557,23,59,48.47,104.44,119.49,24.84848485,0.471,0.512,0.216,0.249,0.156,0.158,0.28,0.295,102.81,110.66,5.05,7.22,13.06,12.81,30.6,33.61,20.52,24.47,8.57,8.04,6.47,5.32,15.58,15.84,23.84,21.43,0,130,16792,17193,69,8,3,1,3,2,0,3,1,0,13,14,0,0,33.1,38.7,86.5,0.447,4.3,13.3,0.321,19.4,25.8,0.753,15.7,19.8,11.6,29.3,40.9,22,7.9,6,101,12.2,0.828,0.281,0.171,0.129,0.247,0.172,0.465,0.648,0.353,0.382,0.38,0.332,0.468,0.06,389,0.89,0.292,0.348,11,0
Utah Jazz,99.43,101.26,-1.83,90.74,108.48,110.47,-2,0.498,0.505,0.544,0.556,39,43,49.13,113.59,112.56,44.72727273,0.498,0.505,0.241,0.275,0.148,0.152,0.27,0.284,108.48,110.47,5.79,7.88,11.95,12.31,31.11,32.28,25.56,22.62,8.37,8.1,6.44,5.47,14.8,15.21,24.81,23.98,2,170,19512,17331,12,21,1,1,6,3,0,2,1,0,11,8,0,1,33.3,40.3,83.9,0.48,4.9,13.8,0.358,21.9,27.7,0.791,13,19.8,10.9,29.7,40.5,24.4,7.2,6.2,107.4,12.1,0.809,0.296,0.181,0.111,0.221,0.191,0.493,0.652,0.398,0.396,0.406,0.346,0.588,0.055,330,0.862,0.184,0.368,16,1
Toronto Raptors,99.07,105.35,-6.28,92.57,106.49,113.43,-6.94,0.491,0.522,0.533,0.567,22,60,49.53,108.63,120.59,28.57575758,0.491,0.522,0.221,0.251,0.151,0.144,0.282,0.28,106.49,113.43,4.52,7.1,12.62,11.98,30.71,32.26,23.53,24.34,7.62,8.21,4.59,5.99,15.1,14.4,23.69,21.27,2,154,16592,16856,32,24,2,1,4,5,0,1,1,0,14,11,0,0,31.8,39.3,84.5,0.464,3.6,11.7,0.306,19.3,25.1,0.766,14,20.1,10.7,27.5,38.2,23.3,6.9,4,101.4,11.8,0.838,0.325,0.157,0.112,0.245,0.162,0.494,0.627,0.414,0.439,0.394,0.316,0.534,0.053,325,0.872,0.234,0.337,12,0
San Antonio Spurs,103.68,97.98,5.71,92.28,111.8,105.78,6.02,0.527,0.491,0.567,0.528,61,21,50.4,118.87,107.88,62.12121212,0.527,0.491,0.23,0.19,0.139,0.14,0.25,0.254,111.8,105.78,9.01,6.31,10.9,11.64,34.23,32.84,24.14,22.19,7.92,7.47,4.89,4.92,13.86,13.98,20.46,22.4,3,132,18314,17390,4,25,2,4,0,6,0,2,0,1,1,1,1,1,28.7,42.4,87.4,0.484,6.6,17.3,0.381,21.2,27.4,0.775,14.7,17.2,10.8,33.6,44.4,27.2,8.1,5.2,112.5,12.7,0.739,0.264,0.201,0.106,0.167,0.261,0.503,0.662,0.43,0.407,0.4,0.397,0.507,0.029,166,0.858,0.367,0.421,7,0
Sacramento Kings,99.4,104.74,-5.34,94.62,104.13,109.64,-5.51,0.48,0.513,0.519,0.555,24,58,51.58,106.94,117.78,27.33333333,0.48,0.513,0.209,0.233,0.164,0.147,0.299,0.256,104.13,109.64,5.47,6.13,13.68,11.08,32.27,32.01,21.4,22.71,7.77,8.5,5,5.92,16.38,14.73,23.06,21.99,2,149,13890,17401,50,20,3,0,2,2,0,3,1,2,14,14,0,0,31,38.9,87.2,0.446,5.3,15.7,0.335,18.2,24.3,0.748,16.6,20.9,12.4,31.3,43.7,21.8,7.7,4.6,101.2,12,0.817,0.265,0.219,0.112,0.221,0.183,0.475,0.68,0.36,0.401,0.38,0.335,0.48,0.047,299,0.879,0.286,0.403,24,1
Portland Trailblazers,96.29,94.77,1.53,87.82,108.96,107.14,1.81,0.486,0.51,0.533,0.552,48,34,49.79,107.94,103.87,34.78787879,0.486,0.51,0.224,0.231,0.141,0.17,0.295,0.28,108.96,107.14,7.15,7.29,13.74,11.97,30.77,32.88,23.96,21.69,9.11,7.8,4.94,4.67,14.05,17.04,21.87,24.03,1,122,20510,16334,12,25,0,2,1,5,0,2,0,2,6,11,1,0,33.9,38.2,82,0.466,5.3,14.5,0.364,20,24.5,0.816,12,17.2,12.8,28.3,41.1,21.6,8.1,4.5,101.6,12.6,0.772,0.283,0.168,0.115,0.206,0.228,0.477,0.645,0.387,0.378,0.376,0.345,0.515,0.046,270,0.934,0.317,0.391,23,0
Phoenix Suns,105.01,105.9,-0.89,94.03,109.86,110.62,-0.76,0.522,0.513,0.559,0.551,40,42,47.6,116.45,120.52,41,0.522,0.513,0.215,0.211,0.142,0.144,0.237,0.284,109.86,110.62,8.94,7.45,10.48,12.55,31.62,33.72,24.82,24.08,6.95,8.2,4.56,4.54,14.24,14.41,21.26,22.17,4,115,17567,17462,10,37,4,1,4,4,0,1,0,0,10,10,0,0,29.3,39.7,85,0.467,9.7,24.9,0.389,16.9,21.1,0.803,13.6,18.7,8.6,29.6,38.3,27.8,6,4.1,106,13.4,0.729,0.253,0.167,0.116,0.193,0.271,0.505,0.701,0.385,0.429,0.396,0.377,0.531,0.049,299,0.869,0.263,0.41,15,0
Philadelphia 76ers,99.01,97.51,1.5,91.47,106.89,105.09,1.8,0.494,0.487,0.535,0.532,41,41,49.56,113.5,109.81,43.48484848,0.494,0.487,0.21,0.231,0.132,0.146,0.246,0.255,106.89,105.09,5.83,6.15,11.19,11.58,33.94,34.28,24.5,23.16,8.18,7.66,4.67,4.94,13.18,14.58,20.96,20.29,2,129,14752,17156,13,36,2,3,1,2,0,2,0,0,7,8,1,1,31,35.5,76.9,0.461,5.6,15.5,0.363,16,20.9,0.763,12.3,17.6,10.1,31.2,41.4,24.8,7.9,4.9,92.6,12.4,0.816,0.258,0.175,0.17,0.213,0.184,0.485,0.672,0.379,0.412,0.405,0.355,0.557,0.051,323,0.831,0.244,0.403,15,0
Orlando Magic,99.21,93.74,5.46,90.31,109.02,102.8,6.22,0.521,0.475,0.555,0.518,52,30,52.12,109.31,100.52,44.72727273,0.521,0.475,0.227,0.219,0.158,0.142,0.261,0.231,109.02,102.8,10.32,6.9,11.58,10.77,35.9,32.76,21.92,22.01,7.34,8.1,5.15,4.15,15.81,14.15,21.98,23.95,4,112,18972,17428,57,12,6,3,1,4,0,1,0,1,4,6,1,1,32.5,38.9,80.3,0.484,8.7,22.7,0.385,19.8,29.5,0.669,15,19.9,10.5,34.9,45.4,20.9,7,5.1,106.3,14.1,0.672,0.253,0.158,0.096,0.164,0.328,0.507,0.671,0.405,0.411,0.411,0.366,0.454,0.065,388,0.835,0.243,0.367,18,1
Oklahoma City Thunder,104.83,101.04,3.79,92.83,111.09,107.22,3.87,0.501,0.493,0.561,0.535,55,27,51.32,120.06,109,58.39393939,0.501,0.493,0.299,0.228,0.143,0.142,0.274,0.264,111.09,107.22,6.29,6.24,11.67,12.06,33.65,31,21.61,22.16,8.45,7.6,6.29,4.61,14.27,14.15,23.73,22.87,8,137,18148,17774,26,23,0,5,1,1,0,1,0,0,4,2,1,1,31.2,40.7,88.4,0.461,5.1,15.4,0.331,28.1,33.5,0.839,14.6,19.3,10.3,32.4,42.7,21.6,8.1,6.1,114.7,12.5,0.788,0.284,0.159,0.126,0.218,0.212,0.495,0.686,0.354,0.404,0.403,0.347,0.488,0.072,443,0.848,0.187,0.354,11,0
