Team,Pts,Opp Pts,Avg. Mrg,Pace,Off Eff,Def Eff,Net Rtg,EFg%,Opp EFg%,Ts%,Opp Ts%,Win,Loss,Reb Rate,Eff Pts,Opp Eff Pts,Future Wins,Team EFg%,Opp EFg%,Team FT Rate,Opp FT Rate%,Team TO Rate,Opp TO Rate,Team Off. Reb.%,Opp Reb Rate%,Pts,Opp. Pts,3PTM,Opp. 3PTM,OReb,Opp. OReb,DReb,Opp. DReb,Ast,Opp. Ast,Stl,Opp. Stl,Blk,Opp. Blk,TO,Opp. TO,Foul,Opp. Foul,4 Point Plays,'And one' Plays,Avg. Home Attendance,Avg. Away Attendance,Defensive Goaltending Vio.,Kicked Ball Vio.,Ejections,Won Without Trailing,Lost Without Taking Lead,Player Signings,Large Player Signings,Draft Picks,Top 10 Draft Picks,Trades,Seed Number,Future Seed Number,Playoff,Future Playoff,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Dist.,2P,0--3,3--10,10--16,16 <3,3P,2P,0--3,3--10,10--16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Washington Wizards,93.64,98.44,-4.8,92.52,101.05,106.67,-5.62,0.472,0.492,0.508,0.536,24.84848485,57.15151515,48.91,102.06,111.05,29,0.472,0.492,0.184,0.229,0.157,0.158,0.273,0.291,101.05,106.67,5.63,6.99,12.67,13.32,32.29,33.85,20.63,23.31,8.62,8.54,6.82,4.93,15.71,15.76,22.97,20.21,3,106,16728,16361,39,6,2,2,6,2,0,2,1,1,14,12,0,0,29.9,38.1,86.7,0.44,3.8,12.8,0.294,17.6,23.9,0.735,15.7,20.1,12.5,30.6,43,20.6,8.2,7,97.5,12.2,0.804,0.299,0.167,0.109,0.227,0.196,0.47,0.661,0.339,0.347,0.376,0.32,0.467,0.072,384,0.858,0.294,0.389,6,1
Utah Jazz,99.65,99.03,0.62,91.37,106.87,106.31,0.56,0.481,0.493,0.525,0.538,44.72727273,37.27272727,51.78,114.36,109.27,43,0.481,0.493,0.227,0.245,0.146,0.152,0.302,0.262,106.87,106.31,4.44,6.96,13.99,11.84,33.39,32.34,23.38,22.04,8.86,8.04,6.26,6.1,14.56,15.16,23.42,22.22,1,101,19307,16935,23,23,2,0,1,1,0,1,0,2,8,9,1,0,29.8,40.8,87,0.469,4.6,13.2,0.347,18.7,23.8,0.784,11.7,20,11,31.3,42.3,22.5,8.2,5.5,104.8,11.2,0.847,0.287,0.238,0.118,0.204,0.153,0.48,0.672,0.42,0.333,0.365,0.323,0.529,0.064,319,0.908,0.198,0.329,12,0
Toronto Raptors,90.7,94,-3.3,89.04,101.06,104.78,-3.72,0.475,0.475,0.518,0.524,28.57575758,53.42424242,50.89,101.83,103.32,34,0.475,0.475,0.211,0.26,0.162,0.14,0.259,0.246,101.06,104.78,6.16,6.77,11.77,11.43,35.02,33.73,23.33,22.41,7.24,8.07,5.42,5.44,16.16,14.02,25.87,20.5,4,87,16836,16732,20,16,3,3,2,2,0,3,1,2,11,10,0,0,29.4,35,78.6,0.445,4.8,14.7,0.329,17.3,21.9,0.793,13.9,20.4,8.9,29,37.9,24,6.2,4.5,92.2,13.1,0.791,0.271,0.151,0.106,0.263,0.209,0.467,0.633,0.402,0.383,0.366,0.34,0.562,0.048,218,0.858,0.241,0.34,12,0
San Antonio Spurs,103.65,96.49,7.17,92.61,111.22,103.65,7.57,0.528,0.489,0.562,0.522,62.12121212,19.87878788,51.05,119.77,105.74,58,0.528,0.489,0.195,0.168,0.142,0.141,0.251,0.24,111.22,103.65,8.97,6.71,11.1,11.07,35,33.19,24.84,21.01,7.97,7.96,4.76,5.37,14.16,14.14,18.58,20.25,0,102,18397,16991,5,26,1,5,0,0,0,1,0,0,1,2,1,1,26.8,43.4,90.1,0.482,6.6,16.3,0.404,17.3,23.5,0.736,13.2,16.7,11.5,33.4,44.9,24.8,7.8,4.5,110.7,12.4,0.743,0.278,0.203,0.099,0.164,0.257,0.507,0.677,0.395,0.429,0.407,0.393,0.508,0.027,129,0.873,0.315,0.415,6,0
Sacramento Kings,98.76,104.44,-5.68,94.52,103.99,110.15,-6.16,0.472,0.515,0.51,0.551,27.33333333,54.66666667,48.79,105.49,122.83,28,0.472,0.515,0.197,0.199,0.146,0.156,0.291,0.295,103.99,110.15,6.56,7.02,14.07,13.02,31.06,34.42,20.28,25.1,8.95,8.28,5.15,6.76,14.57,15.6,20.53,20.98,1,90,14508,16906,19,28,0,0,3,1,0,2,1,2,14,13,0,0,31.1,41.3,92.6,0.445,5.5,16.9,0.327,20.1,26.8,0.752,14.8,19.4,15.1,30.1,45.3,20,8.6,4.3,108.2,11.8,0.772,0.306,0.219,0.076,0.172,0.228,0.471,0.64,0.362,0.353,0.362,0.316,0.456,0.043,219,0.783,0.268,0.341,12,1
Portland Trailblazers,97.2,97.82,-0.62,91.04,105.93,106.64,-0.71,0.488,0.504,0.531,0.54,34.78787879,47.21212121,49.01,107.3,110.42,33,0.488,0.504,0.209,0.199,0.15,0.154,0.263,0.273,105.93,106.64,7.89,7.3,12.14,12.06,32.18,34.06,22.28,22.99,8.72,8.24,5.32,5.19,15.04,15.41,20.66,21.57,3,84,20496,17164,16,23,0,0,3,2,0,4,1,3,11,11,0,0,32.1,37.3,81.6,0.457,6.6,18.9,0.347,16.6,20.9,0.791,13.7,17.3,12.2,30.5,42.8,20.9,8.2,4.9,97.6,13,0.745,0.294,0.139,0.097,0.216,0.255,0.477,0.606,0.391,0.37,0.404,0.346,0.483,0.035,175,0.879,0.306,0.397,15,0
Phoenix Suns,98.36,98.61,-0.24,92.23,106.65,106.58,0.07,0.499,0.491,0.536,0.53,41,41,48.99,111.3,111.56,25,0.499,0.491,0.194,0.2,0.147,0.146,0.258,0.283,106.65,106.58,7.29,6.52,11.78,13.14,33.43,33.8,24.41,23.19,7.08,8.62,6.01,4.72,14.65,14.61,20.26,21.18,2,88,15598,17807,12,38,5,2,1,4,1,1,0,2,10,15,0,0,30,39.3,80.7,0.487,6.9,18.8,0.367,14.9,19.5,0.762,13.6,14.6,10.2,32.8,43,26.4,6,5.5,100.4,13.3,0.762,0.253,0.165,0.118,0.226,0.238,0.494,0.678,0.388,0.384,0.424,0.343,0.549,0.037,191,0.811,0.238,0.354,11,0
Philadelphia 76ers,93.54,89.03,4.51,89.25,104.31,98.75,5.55,0.478,0.458,0.51,0.499,43.48484848,37.27272727,49.8,110.28,98.42,34,0.478,0.458,0.162,0.194,0.12,0.147,0.246,0.247,104.31,98.75,5.83,5.9,12.01,11.83,36.34,36.66,24.46,21.59,8.87,6.59,5.76,5.31,11.99,14.69,19.68,18.02,2,75,17503,16700,12,38,1,2,2,4,0,3,0,4,8,9,1,0,29.1,35.4,78.2,0.453,5.7,15.3,0.374,10.6,14.7,0.72,11.6,16.9,9.9,32.7,42.5,23.4,8.6,5.4,87.1,12.5,0.825,0.232,0.182,0.187,0.225,0.175,0.466,0.642,0.395,0.405,0.393,0.362,0.553,0.043,219,0.799,0.208,0.325,5,0
Orlando Magic,93.88,93.28,0.6,88.66,105.04,104.3,0.74,0.504,0.487,0.532,0.525,44.72727273,36.03030303,50.53,101.4,105.23,20,0.504,0.487,0.195,0.191,0.158,0.143,0.264,0.247,105.04,104.3,11.35,6.97,12.55,11.41,34.89,35.01,22.26,22.76,7.68,8.36,4.65,4.63,15.8,14.3,19.87,22.33,2,79,18898,17161,31,26,3,5,1,1,0,2,0,2,6,15,1,0,32.1,38.3,83.6,0.458,11.6,30.8,0.377,16.4,25.6,0.639,14.5,17.1,13,33.6,46.5,21.5,7.2,4.6,104.5,13.9,0.654,0.286,0.153,0.063,0.152,0.346,0.475,0.636,0.371,0.33,0.338,0.375,0.474,0.05,232,0.836,0.216,0.42,8,0
Oklahoma City Thunder,103.06,96.94,6.12,93.09,109.67,103.19,6.48,0.516,0.465,0.567,0.508,58.39393939,23.60606061,51.42,117.99,103.44,60,0.516,0.465,0.269,0.207,0.17,0.144,0.278,0.279,109.67,103.19,7.61,6.79,11.71,13.47,34.78,30.47,19.74,21.16,8.03,8.74,8.69,5.18,17,14.42,21.8,21.32,0,121,18203,18032,25,24,1,3,0,3,0,1,0,0,2,1,1,1,30.1,42,87.9,0.477,6.3,17.8,0.356,23.6,29.3,0.806,17.8,18.6,11.6,35.6,47.2,18.5,7.5,10.6,113.9,12.6,0.748,0.294,0.148,0.13,0.175,0.252,0.509,0.671,0.378,0.389,0.436,0.358,0.419,0.078,377,0.828,0.183,0.411,9,0
