Team,Pts,Opp Pts,Avg. Mrg,Pace,Off Eff,Def Eff,Net Rtg,EFg%,Opp EFg%,Ts%,Opp Ts%,Win,Loss,Reb Rate,Eff Pts,Opp Eff Pts,Future Wins,Team EFg%,Opp EFg%,Team FT Rate,Opp FT Rate%,Team TO Rate,Opp TO Rate,Team Off. Reb.%,Opp Reb Rate%,Pts,Opp. Pts,3PTM,Opp. 3PTM,OReb,Opp. OReb,DReb,Opp. DReb,Ast,Opp. Ast,Stl,Opp. Stl,Blk,Opp. Blk,TO,Opp. TO,Foul,Opp. Foul,4 Point Plays,'And one' Plays,Avg. Home Attendance,Avg. Away Attendance,Defensive Goaltending Vio.,Kicked Ball Vio.,Ejections,Won Without Trailing,Lost Without Taking Lead,Player Signings,Large Player Signings,Draft Picks,Top 10 Draft Picks,Trades,Seed Number,Future Seed Number,Playoff,Future Playoff,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Dist.,2P,0--3,3--10,10--16,16 <3,3P,2P,0--3,3--10,10--16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Washington Wizards,91.84,97.44,-5.6,92.66,98.37,104.36,-6,0.454,0.486,0.5,0.528,25,57,49.57,96.5,114.39,45,0.454,0.486,0.241,0.214,0.179,0.166,0.307,0.305,98.37,104.36,5.67,5.54,14.56,13.69,31.24,32.92,20.08,25.68,9.57,10.27,5.3,5.85,17.91,16.58,22.36,23.29,2,112,15741,16008,31,5,5,0,3,3,0,2,1,1,13,5,0,1,30.6,34.3,82,0.418,5.6,16.1,0.348,19.5,27,0.722,17.4,18.8,13.2,29.5,42.7,18.6,8.5,4.4,93.7,11.9,0.806,0.29,0.18,0.123,0.213,0.194,0.44,0.618,0.317,0.34,0.358,0.341,0.511,0.053,325,0.808,0.214,0.371,4,0
Utah Jazz,88.67,89.89,-1.22,87,101.41,102.93,-1.52,0.456,0.468,0.509,0.53,42,40,52.95,98.76,97.33,26,0.456,0.468,0.266,0.319,0.175,0.17,0.341,0.276,101.41,102.93,3.52,5.8,15.38,12.12,31.69,29.76,23.31,21.34,8.1,9.27,6.89,7.4,17.5,16.98,29.23,27.92,2,105,19154,16537,19,15,7,5,1,2,2,3,0,1,9,14,0,0,29.5,33.7,75.8,0.445,2.8,8.9,0.316,21,28.1,0.745,15.1,20.8,15.1,28.9,44,21,7.1,7.7,91.2,11.5,0.873,0.357,0.085,0.104,0.327,0.127,0.453,0.555,0.353,0.357,0.397,0.321,0.598,0.041,232,0.845,0.229,0.361,8,0
Toronto Raptors,85.44,88.45,-3.01,87.09,96.64,100.14,-3.5,0.454,0.449,0.495,0.499,33,49,46.78,93.13,98.61,33,0.454,0.449,0.195,0.241,0.151,0.157,0.238,0.299,96.64,100.14,6.36,3.77,11.45,14.28,33.37,36.75,21.71,20.96,8.33,8.08,5.55,4.6,15.05,15.7,24.11,22.35,1,85,18308,16481,26,35,2,0,3,2,0,2,1,1,10,11,0,0,34.6,35.2,83.2,0.424,5.9,16.5,0.356,16.3,21.4,0.764,13.5,18.4,10.3,30.2,40.5,19.9,6.9,5.4,92.7,13.1,0.796,0.252,0.123,0.155,0.267,0.204,0.434,0.575,0.398,0.346,0.368,0.356,0.519,0.041,238,0.944,0.451,0.405,8,0
Seattle SuperSonics,97.12,97.76,-0.63,90.04,107.19,107.68,-0.5,0.501,0.487,0.54,0.533,37,45,47.97,107.57,109.74,52,0.501,0.487,0.207,0.237,0.152,0.156,0.272,0.315,107.19,107.68,9.73,6.53,12.21,14.35,31.2,32.64,23.98,23.21,8.9,8.44,5.21,5.2,15.18,15.56,24.01,22.27,0,108,15255,16843,14,27,1,4,2,1,0,3,0,2,12,3,0,1,30.1,37.7,84.8,0.445,10.1,26.3,0.385,16.9,21.4,0.788,13.9,19.5,11,29,40,24.1,8.1,4.5,102.4,13.5,0.706,0.245,0.158,0.121,0.182,0.294,0.476,0.655,0.377,0.389,0.38,0.373,0.519,0.052,305,0.876,0.272,0.408,19,0
San Antonio Spurs,91.48,84.26,7.22,89.08,102.31,94.12,8.19,0.473,0.433,0.511,0.48,57,25,52.34,105.68,88.65,59,0.473,0.433,0.219,0.215,0.158,0.163,0.295,0.254,102.31,94.12,5.57,4.24,14.03,12.38,36.4,33.5,22.86,19.33,9.02,8.64,7.32,5.18,15.75,16.27,22.74,25.02,4,94,18042,17348,5,35,1,6,1,3,1,3,0,1,3,2,1,1,32.4,35.6,78.5,0.454,4.8,13.3,0.359,16.5,25.6,0.644,13.4,17.9,12.3,33.4,45.7,21,7.3,7.8,92.5,11.6,0.823,0.282,0.197,0.144,0.2,0.177,0.46,0.623,0.373,0.383,0.371,0.358,0.543,0.039,228,0.868,0.363,0.394,12,0
Sacramento Kings,102.84,97.83,5.01,93.05,109.96,104.4,5.56,0.507,0.483,0.554,0.521,55,27,48.42,120.33,110.1,50,0.507,0.483,0.242,0.193,0.144,0.153,0.261,0.302,109.96,104.4,7.84,5.32,11.58,14.06,32.5,32.81,28.06,22.68,9.26,8.47,4.24,5.38,14.44,15.29,20.68,23.65,2,132,17317,17813,16,31,3,5,1,2,0,2,0,0,4,6,1,1,35.3,38.6,82.5,0.468,7.4,18.5,0.401,21.8,27,0.807,13.8,16.5,9.6,30.4,39.9,29.1,8.6,4,106.5,13,0.777,0.277,0.128,0.089,0.284,0.223,0.48,0.636,0.34,0.383,0.421,0.401,0.653,0.035,220,0.862,0.307,0.422,12,0
Portland Trailblazers,90.73,92,-1.27,86.38,103.46,104.85,-1.39,0.478,0.482,0.515,0.518,41,41,50.8,103.81,106.5,27,0.478,0.482,0.195,0.186,0.158,0.148,0.312,0.3,103.46,104.85,5.3,5.8,14.46,14.12,33.04,31.86,24.59,26.57,8.53,9.13,6.16,5.42,15.77,14.82,21.61,21.32,0,113,16684,16283,23,30,4,3,5,2,0,3,0,2,10,13,0,0,35.1,37.1,82,0.453,5,15,0.337,15.4,20.2,0.761,13.9,16.8,11.4,29.7,41.1,22.3,6.9,5.6,94.7,11.5,0.83,0.3,0.171,0.141,0.218,0.17,0.469,0.597,0.41,0.415,0.375,0.346,0.571,0.055,339,0.866,0.188,0.362,10,0
Phoenix Suns,94.18,97.93,-3.74,92.62,101.43,105.48,-4.05,0.475,0.482,0.515,0.529,29,53,48.14,102.04,110.21,62,0.475,0.482,0.209,0.24,0.158,0.162,0.266,0.301,101.43,105.48,5.45,6.29,12.14,13.64,31.6,33.5,20.83,23.12,9.64,8.51,5.03,5.66,15.8,16.18,24.46,20.87,1,112,16351,16462,29,36,1,1,7,4,2,1,1,2,13,1,0,1,34.7,39.1,87,0.449,5.2,15,0.345,18.1,23.8,0.762,14.6,20.3,11.7,30.4,42.1,20.6,9.5,4.8,101.5,11.4,0.82,0.327,0.137,0.146,0.21,0.18,0.465,0.587,0.441,0.35,0.371,0.345,0.482,0.057,343,0.87,0.337,0.407,14,0
Philadelphia 76ers,87.99,90.48,-2.49,88.3,98.77,101.62,-2.85,0.456,0.467,0.505,0.512,33,49,49.67,96.76,102.32,43,0.456,0.467,0.242,0.231,0.165,0.162,0.282,0.293,98.77,101.62,4.64,6.07,12.88,13.64,32.96,32.85,22.45,23.93,8.95,9.29,4.9,6.34,16.52,16.23,23.29,24.07,0,124,19223,17673,45,19,1,1,2,1,1,1,1,3,11,7,0,1,34.3,34.2,78.7,0.435,3,9.3,0.325,20.7,27.1,0.764,15.5,17.9,11.2,29.7,40.9,22.5,8.2,4.3,92.2,11.3,0.842,0.319,0.132,0.174,0.216,0.158,0.445,0.562,0.37,0.36,0.385,0.342,0.567,0.043,239,0.92,0.316,0.383,7,0
Orlando Magic,94.04,101.06,-7.02,91.09,102.46,110.38,-7.92,0.461,0.502,0.504,0.54,21,61,47.93,98.17,119.63,36,0.461,0.502,0.218,0.214,0.141,0.141,0.281,0.313,102.46,110.38,5.7,6.54,13.33,14.28,31.23,34.23,21.05,26.69,7.27,8.33,4.09,5.99,14.12,14.08,23.17,22.52,6,120,14369,16794,29,16,2,2,3,3,1,3,1,4,15,10,0,0,31.8,37.3,86.9,0.429,6.4,18.1,0.353,19.2,24.9,0.772,13.2,19.6,10.9,27.5,38.3,21.2,6.3,3.3,100.2,12.8,0.816,0.26,0.138,0.145,0.273,0.184,0.448,0.551,0.402,0.395,0.403,0.344,0.504,0.036,219,0.786,0.19,0.376,4,0
New York Knicks,91.98,93.45,-1.48,90.12,101.03,102.78,-1.75,0.474,0.461,0.518,0.514,39,43,50.72,103.49,103.49,33,0.474,0.461,0.211,0.259,0.168,0.145,0.28,0.272,101.03,102.78,5.44,5.57,12.73,12.74,34.07,32.78,22.71,22.48,8.15,9.05,5.24,5.14,16.79,14.47,25.41,21.46,0,103,19164,17589,6,21,2,2,5,1,0,1,0,1,7,12,1,0,31.6,37.8,83.4,0.454,5.5,14.9,0.371,17.6,21.8,0.806,14.8,21.5,10.7,31,41.7,21.2,7,4.9,98.8,12.2,0.829,0.259,0.156,0.177,0.237,0.171,0.459,0.568,0.419,0.418,0.395,0.364,0.548,0.022,134,0.835,0.271,0.384,12,0
New Orleans Hornets,91.82,91.95,-0.13,89.46,101.85,102.22,-0.37,0.46,0.476,0.505,0.519,41,41,50.43,101.67,104.23,18,0.46,0.476,0.22,0.218,0.156,0.163,0.306,0.287,101.85,102.22,7.18,6.03,14.76,13.18,32.71,33.58,23.21,24.27,9.58,8.31,4.68,5.82,15.63,16.32,23.2,23.51,1,95,14332,16680,13,15,5,1,7,2,0,2,0,0,5,15,1,0,33.8,35.6,84.6,0.421,6.8,20.9,0.323,18.8,24.8,0.76,13.8,18.4,12.8,30.2,43,21.8,8.2,4.2,96.9,12.8,0.748,0.294,0.115,0.131,0.209,0.252,0.454,0.568,0.363,0.377,0.391,0.319,0.591,0.044,263,0.738,0.232,0.331,12,1
New Jersey Nets,90.26,87.76,2.5,89.68,100.52,97.61,2.9,0.471,0.46,0.515,0.506,47,35,49.93,104.9,96.43,42,0.471,0.46,0.219,0.221,0.157,0.169,0.259,0.261,100.52,97.61,5.12,5.67,11.71,11.84,33.59,33.52,27.29,22.07,9.63,8.9,4.37,5.07,15.71,16.86,23.39,23.59,0,113,14952,17358,17,29,5,6,4,5,0,2,0,4,2,8,1,1,34.6,36.4,80,0.455,4.8,13.9,0.347,18.3,24.2,0.757,14.1,18,10.2,31.6,41.8,26.7,9.2,4,96,11.9,0.824,0.332,0.111,0.113,0.268,0.176,0.464,0.609,0.342,0.357,0.381,0.336,0.687,0.067,394,0.889,0.185,0.409,16,2
Minnesota Timberwolves,94.55,89.06,5.49,89.09,105.73,99.69,6.04,0.486,0.444,0.528,0.49,58,24,50.86,112.95,95.68,44,0.486,0.444,0.207,0.215,0.137,0.144,0.267,0.275,105.73,99.69,4.45,5.39,11.93,13.66,36.07,32.76,25.77,23.22,7.65,7.47,6.3,4.04,13.69,14.35,23.61,22.6,0,97,17636,17862,26,7,4,7,3,0,0,1,0,0,1,9,1,0,32.3,41.4,88.1,0.47,3.5,10,0.348,18.2,22.6,0.807,12.9,18,9.8,33.7,43.5,26.7,7,6.5,104.5,13,0.863,0.206,0.147,0.21,0.301,0.137,0.477,0.62,0.44,0.431,0.429,0.363,0.591,0.03,191,0.89,0.259,0.397,13,0
Milwaukee Bucks,98.04,96.98,1.06,92.11,105.9,104.98,0.93,0.477,0.485,0.528,0.525,41,41,49.7,110.61,110.27,30,0.477,0.485,0.255,0.213,0.14,0.147,0.276,0.282,105.9,104.98,5.28,6.02,12.65,12.98,32.96,33.28,24.66,24.69,7.3,8.11,5.05,5.36,14.04,14.72,21.97,24.79,1,110,16834,16214,24,8,1,3,3,4,0,0,0,1,6,13,1,0,30.7,37.8,85,0.445,4.4,12.2,0.365,21.5,26.9,0.802,12.7,19.1,12.6,31,43.6,20.7,5.9,4,101.6,11.2,0.828,0.32,0.152,0.176,0.179,0.172,0.467,0.578,0.424,0.384,0.385,0.35,0.588,0.054,325,0.903,0.261,0.328,9,0
Miami Heat,90.27,89.74,0.52,88.12,102.05,101.36,0.69,0.463,0.463,0.51,0.516,42,40,50.15,98.16,98.59,59,0.463,0.463,0.227,0.26,0.148,0.16,0.274,0.266,102.05,101.36,6.69,5.94,12.96,12.29,33.9,34.24,21.58,21.02,8.14,7.96,4.32,6.05,14.84,15.99,24.98,23.82,0,119,15239,16524,7,16,3,2,4,4,0,3,0,2,4,1,1,1,34.5,34.5,80.2,0.431,5.5,16,0.342,19.3,25.1,0.771,13.6,20.4,10.7,30.8,41.5,20.5,7.5,3.5,93.9,12.3,0.789,0.297,0.143,0.117,0.231,0.211,0.443,0.562,0.394,0.323,0.382,0.357,0.505,0.038,211,0.889,0.228,0.427,19,0
Memphis Grizzlies,96.71,94.27,2.44,91.45,104.69,101.91,2.78,0.479,0.465,0.522,0.516,50,32,48.73,111.87,105.2,45,0.479,0.465,0.234,0.251,0.156,0.174,0.295,0.316,104.69,101.91,5.9,4.87,13.82,14.49,31.43,33.07,25.28,22.07,10.5,8.85,7.46,6.08,15.58,17.39,25.12,24.93,1,111,15188,16695,13,30,8,3,3,1,1,1,0,2,6,8,1,1,28.5,38,83.4,0.455,6.6,18.8,0.352,20.4,27.2,0.751,14.4,20.8,11.8,28.9,40.6,25.8,8.8,5.9,103,11.1,0.803,0.342,0.17,0.101,0.19,0.197,0.471,0.596,0.393,0.346,0.381,0.34,0.609,0.065,384,0.857,0.277,0.33,20,2
