Team,Pts,Opp Pts,Avg. Mrg,Pace,Off Eff,Def Eff,Net Rtg,EFg%,Opp EFg%,Ts%,Opp Ts%,Win,Loss,Reb Rate,Eff Pts,Opp Eff Pts,Future Wins,Team EFg%,Opp EFg%,Team FT Rate,Opp FT Rate%,Team TO Rate,Opp TO Rate,Team Off. Reb.%,Opp Reb Rate%,Pts,Opp. Pts,3PTM,Opp. 3PTM,OReb,Opp. OReb,DReb,Opp. DReb,Ast,Opp. Ast,Stl,Opp. Stl,Blk,Opp. Blk,TO,Opp. TO,Foul,Opp. Foul,4 Point Plays,'And one' Plays,Avg. Home Attendance,Avg. Away Attendance,Defensive Goaltending Vio.,Kicked Ball Vio.,Ejections,Won Without Trailing,Lost Without Taking Lead,Player Signings,Large Player Signings,Draft Picks,Top 10 Draft Picks,Trades,Seed Number,Future Seed Number,Playoff,Future Playoff,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Dist.,2P,0--3,3--10,10--16,16 <3,3P,2P,0--3,3--10,10--16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Washington Wizards,101.66,99.81,1.85,92.53,109.04,107.36,1.68,0.484,0.504,0.538,0.549,42,40,49.55,107.89,109.31,41,0.484,0.504,0.284,0.256,0.144,0.167,0.295,0.291,109.04,107.36,6.5,6.57,13.54,12.65,30.66,32.49,19.92,23.17,8.61,7.05,4.43,4.47,14.39,16.74,24.26,27.22,4,154,17197,17292,14,16,0,5,0,2,0,2,0,0,5,7,1,1,33.6,40.5,89.6,0.452,7.4,19.9,0.373,24,31.3,0.768,14.2,20.6,12.2,29.2,41.4,19,8,3.7,112.5,12.6,0.791,0.287,0.164,0.093,0.247,0.209,0.471,0.638,0.354,0.388,0.385,0.357,0.463,0.047,299,0.757,0.179,0.356,10,0
Utah Jazz,92.35,94.99,-2.63,88.29,103.56,106.93,-3.38,0.467,0.49,0.519,0.544,41,41,52.61,103,102.82,51,0.467,0.49,0.286,0.303,0.166,0.155,0.324,0.268,103.56,106.93,4.25,6.73,14.65,11.96,32.55,30.71,24.23,20.74,7.17,9.1,6.73,6.36,16.56,15.5,27.79,28.89,2,110,18332,17048,15,20,1,1,3,0,0,3,0,2,9,4,0,1,30.7,35.4,77.8,0.455,4.4,12.5,0.353,23.2,31.4,0.738,14.8,22.7,13,30.2,43.3,22.6,5.9,7,98.5,11.7,0.851,0.348,0.097,0.109,0.297,0.149,0.461,0.588,0.337,0.389,0.378,0.336,0.62,0.032,181,0.846,0.129,0.37,10,1
Toronto Raptors,101.06,104.05,-2.99,91.14,109.36,112.63,-3.28,0.5,0.53,0.548,0.573,27,55,48.32,106.72,118.92,47,0.5,0.53,0.249,0.263,0.135,0.147,0.254,0.267,109.36,112.63,8.02,6.71,11.4,11.02,30.23,33.52,21.02,25.58,6.98,6.84,3.59,4.74,13.5,14.72,25.93,24.21,6,149,17057,16596,29,25,3,4,4,3,0,3,1,4,12,3,0,1,31.9,38.9,85,0.458,7.6,19.8,0.383,22.6,28,0.806,12.9,21.4,10,28.3,38.4,19.8,6.3,3.1,108.1,12.9,0.756,0.279,0.135,0.128,0.214,0.244,0.479,0.584,0.431,0.376,0.433,0.375,0.449,0.039,236,0.842,0.352,0.382,13,1
Seattle SuperSonics,102.57,105.6,-3.03,91.69,111.02,114.21,-3.18,0.504,0.527,0.551,0.571,35,47,49.44,110.31,120.5,31,0.504,0.527,0.246,0.26,0.152,0.149,0.304,0.31,111.02,114.21,7.99,7.15,13.37,13.23,29.48,30.55,22.39,26.02,8.21,7.89,4.04,5.26,15.18,14.92,25.52,24,1,132,16199,17195,26,27,6,2,2,0,0,3,1,1,11,14,0,0,31.9,40.1,86.3,0.465,8.9,23.2,0.382,20.9,25.7,0.815,13,19.2,11.5,26.7,38.2,22,8.1,3.5,110.1,12.5,0.757,0.275,0.173,0.124,0.184,0.243,0.487,0.615,0.42,0.401,0.415,0.371,0.481,0.054,318,0.836,0.207,0.412,19,0
San Antonio Spurs,95.57,88.76,6.82,88.18,107.7,99.84,7.86,0.513,0.457,0.546,0.501,63,19,50.72,109.31,93.12,58,0.513,0.457,0.209,0.22,0.149,0.149,0.26,0.258,107.7,99.84,7.2,4.12,11.69,12.15,35.01,33.16,23.6,18.33,7.46,8.22,6.42,4.71,14.94,14.91,23.55,23.44,0,114,18797,18376,6,30,0,4,0,3,0,1,0,2,1,3,1,1,30.4,38.9,79.7,0.488,4.4,11.2,0.391,19,27.3,0.697,14.1,19.2,10.1,31.7,41.8,22.2,7.2,6.1,101.1,11.8,0.785,0.295,0.187,0.109,0.194,0.215,0.496,0.657,0.407,0.399,0.39,0.385,0.504,0.03,170,0.901,0.408,0.432,8,0
Sacramento Kings,98.85,97.32,1.54,91.95,106.7,104.82,1.88,0.492,0.488,0.544,0.528,44,38,49.03,109.78,108.78,33,0.492,0.488,0.262,0.21,0.151,0.152,0.254,0.278,106.7,104.82,6.5,6.07,11.22,12.52,32.55,32.88,24.02,22.76,8,8.62,3.94,5.29,15.09,15.19,22.01,24.77,0,153,17317,17102,9,23,4,2,2,5,1,1,0,0,8,11,1,0,36.4,37.7,82.1,0.459,6.9,18.8,0.367,21.3,26.8,0.796,14.1,17.8,9.7,30.3,40.1,24.1,7.3,3.2,103.6,13.3,0.783,0.281,0.118,0.07,0.315,0.217,0.483,0.628,0.427,0.382,0.397,0.351,0.566,0.04,246,0.874,0.247,0.365,10,0
Portland Trailblazers,88.84,98.29,-9.45,87.58,101.18,111.98,-10.8,0.474,0.507,0.511,0.549,21,61,47.07,92.98,113.83,32,0.474,0.507,0.214,0.232,0.156,0.142,0.266,0.318,101.18,111.98,5.06,6.92,12.31,14.3,30.6,33.97,20.69,24.13,7.35,8.23,6.04,5.6,15.6,14.16,25.39,23.67,0,121,15049,17145,54,17,2,0,8,0,0,3,1,7,15,12,0,0,27.9,35.5,78.8,0.45,4.3,12.1,0.352,16.1,23.7,0.68,13.9,20.7,11.9,28.3,40.2,19.1,6.4,5.4,91.3,11.9,0.834,0.31,0.143,0.097,0.283,0.166,0.464,0.599,0.367,0.407,0.386,0.349,0.485,0.05,281,0.86,0.283,0.363,16,1
Phoenix Suns,108.37,102.82,5.55,95.57,111.83,105.97,5.86,0.537,0.49,0.568,0.527,54,28,47.67,126.62,109.98,61,0.537,0.49,0.166,0.2,0.132,0.147,0.222,0.28,111.83,105.97,10.53,6.49,9.79,12.92,33.35,34.38,27.42,19.43,6.91,7.43,5.19,3.55,13.19,14.71,21.18,20.4,1,101,17809,17695,11,27,2,9,1,4,0,2,0,2,2,2,1,1,34.8,41.5,83.3,0.499,9,21.9,0.413,15.1,18.7,0.812,12.7,19,10.4,33.7,44.1,29.2,7,5.3,107.2,14.4,0.707,0.254,0.089,0.104,0.26,0.293,0.511,0.662,0.413,0.415,0.437,0.399,0.569,0.041,275,0.84,0.286,0.42,10,0
Philadelphia 76ers,99.35,101.31,-1.95,92.52,106.18,108.07,-1.89,0.487,0.5,0.538,0.545,38,44,48.46,108.98,114.77,35,0.487,0.5,0.27,0.24,0.145,0.156,0.256,0.287,106.18,108.07,4.89,6.48,11.38,12.67,31.6,32.95,21.54,24.48,8.48,8.2,5.27,5.02,14.49,15.61,22.31,24.69,2,135,16519,18627,47,21,3,1,3,0,0,1,0,3,9,10,0,0,35.3,40,86.1,0.464,4.3,12,0.361,23.9,31.1,0.768,14.5,17.7,9.8,30.7,40.5,22.3,8.2,5.3,108.2,11.1,0.842,0.328,0.15,0.145,0.22,0.158,0.476,0.59,0.416,0.395,0.401,0.364,0.502,0.069,421,0.891,0.263,0.399,6,0
Orlando Magic,94.93,96,-1.07,88.03,106.62,107.6,-0.98,0.496,0.49,0.543,0.537,36,46,51.12,102.61,104.2,40,0.496,0.49,0.27,0.264,0.162,0.144,0.285,0.275,106.62,107.6,4.1,6.29,12.22,12.45,32.9,30.6,20.48,22.47,7.29,8.41,4.96,5.28,16.2,14.39,26.13,25.96,0,139,15561,17084,23,14,1,1,2,1,0,3,0,1,10,8,0,1,33,35.8,74.4,0.481,2.7,7.3,0.371,21.7,30.3,0.715,14.6,21.3,11.4,31,42.3,18.2,6,4.3,96,10.9,0.871,0.358,0.125,0.13,0.258,0.129,0.486,0.599,0.385,0.398,0.424,0.376,0.474,0.075,419,0.863,0.198,0.449,12,0
