Team,Pts,Opp Pts,Avg. Mrg,Pace,Off Eff,Def Eff,Net Rtg,EFg%,Opp EFg%,Ts%,Opp Ts%,Win,Loss,Reb Rate,Eff Pts,Opp Eff Pts,Future Wins,Team EFg%,Opp EFg%,Team FT Rate,Opp FT Rate%,Team TO Rate,Opp TO Rate,Team Off. Reb.%,Opp Reb Rate%,Pts,Opp. Pts,3PTM,Opp. 3PTM,OReb,Opp. OReb,DReb,Opp. DReb,Ast,Opp. Ast,Stl,Opp. Stl,Blk,Opp. Blk,TO,Opp. TO,Foul,Opp. Foul,4 Point Plays,'And one' Plays,Avg. Home Attendance,Avg. Away Attendance,Defensive Goaltending Vio.,Kicked Ball Vio.,Ejections,Won Without Trailing,Lost Without Taking Lead,Player Signings,Large Player Signings,Draft Picks,Top 10 Draft Picks,Trades,Seed Number,Future Seed Number,Playoff,Future Playoff,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Dist.,2P,0--3,3--10,10--16,16 <3,3P,2P,0--3,3--10,10--16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Washington Wizards,92.79,94.2,-1.4,88.7,104.35,105.91,-1.56,0.464,0.484,0.508,0.526,37,45,50.83,104.06,106.94,37,0.464,0.484,0.214,0.214,0.137,0.146,0.308,0.286,104.35,105.91,4.18,5.79,14.47,13.16,32.82,32.58,23.52,24.93,7.82,7.86,4.86,5.68,13.7,14.56,24.18,23.49,0,111,20674,19939,7,16,2,1,2,1,1,4,0,1,10,9,0,0,28.9,39.3,88.8,0.442,3.8,10.1,0.379,19.6,24.5,0.8,12.5,19.6,11.2,28,39.2,22.9,6.9,3.5,102,12.5,0.882,0.214,0.159,0.222,0.287,0.118,0.448,0.631,0.324,0.394,0.422,0.388,0.561,0.041,267,0.784,0.168,0.439,3,0
Utah Jazz,95.99,95.1,0.89,90.46,105.31,104.06,1.26,0.472,0.484,0.529,0.539,44,38,52.48,112.54,103.81,47,0.472,0.484,0.291,0.286,0.173,0.177,0.335,0.283,105.31,104.06,3.75,6.21,14.84,12.37,31.43,29.41,26.75,21.15,10.02,9.98,7,7.31,17.26,17.72,26.37,27.61,0,123,18686,16668,19,17,4,3,1,2,1,2,0,1,8,7,1,1,29.3,38.1,80.9,0.471,2.2,6.6,0.33,25.9,33.2,0.78,16.1,21.9,13,29.1,42,27.3,10,6.1,104.3,10.7,0.868,0.38,0.102,0.124,0.261,0.132,0.468,0.584,0.3,0.369,0.411,0.333,0.678,0.048,280,0.871,0.215,0.343,7,0
Toronto Raptors,91.39,91.83,-0.44,88.92,102.39,102.95,-0.56,0.463,0.471,0.501,0.518,42,40,50.14,103.71,101.85,24,0.463,0.471,0.189,0.237,0.152,0.163,0.314,0.299,102.39,102.95,5.29,5.16,15.22,13.6,31.92,33.31,24.31,22.27,9.4,8.59,6.26,5.37,15.15,16.28,24.2,22.04,2,92,19760,17200,17,24,4,3,4,1,0,1,0,1,7,14,1,0,33.6,37.6,86.5,0.434,4.7,13.1,0.355,16.4,21.8,0.752,13.2,19.5,14.1,27.4,41.5,20.6,8.3,5.2,96.2,12.2,0.835,0.284,0.121,0.192,0.238,0.165,0.451,0.578,0.395,0.377,0.387,0.349,0.571,0.045,275,0.858,0.214,0.418,18,0
Seattle SuperSonics,97.73,94.71,3.03,89.17,108.77,105.39,3.38,0.505,0.485,0.54,0.524,45,37,49.14,112.92,105.57,40,0.505,0.485,0.189,0.206,0.147,0.164,0.294,0.319,108.77,105.39,6.64,6.41,13.14,14.81,31.66,31.57,26.14,24.86,9.47,7.71,4.94,5.43,14.73,16.35,23.51,22.08,0,109,15452,16013,22,26,3,5,2,0,0,1,0,1,7,10,1,0,33.1,40.9,85.8,0.476,6.9,18,0.383,16.2,21.4,0.757,13.1,18.9,11.3,28.5,39.7,26.7,8.5,4.4,104.9,11.8,0.807,0.28,0.19,0.121,0.216,0.193,0.49,0.636,0.387,0.393,0.446,0.378,0.56,0.047,277,0.912,0.261,0.374,8,0
San Antonio Spurs,96.73,90.52,6.21,90.01,106.53,99.56,6.97,0.492,0.453,0.539,0.495,58,24,50.3,110.32,98.45,60,0.492,0.453,0.262,0.189,0.152,0.151,0.272,0.281,106.53,99.56,5.88,5.02,12.18,13.45,34.46,32.58,22.07,20.7,8.39,8.52,7.21,5.74,15.22,15.13,21.15,25.43,0,121,22107,17248,11,20,4,9,1,2,0,3,0,3,2,1,1,1,31.5,37.2,78.8,0.472,4.8,12.8,0.375,22.2,29.8,0.745,13.7,17.5,11.4,32.7,44.1,19.4,7.4,7.7,101.4,11.2,0.81,0.314,0.166,0.177,0.153,0.19,0.48,0.643,0.407,0.369,0.356,0.362,0.507,0.061,358,0.886,0.364,0.44,8,0
Sacramento Kings,104.61,97,7.61,95.53,109.09,101.06,8.04,0.497,0.467,0.539,0.504,61,21,50.22,121.96,108.12,59,0.497,0.467,0.231,0.185,0.139,0.152,0.279,0.283,109.09,101.06,5.42,4.9,12.88,13.53,34.36,33.25,24.91,23.36,9.42,8.04,4.77,4.92,13.93,15.21,19.84,23.21,0,126,17317,17701,19,22,5,10,1,1,1,2,0,1,1,2,1,1,34.1,40.8,86,0.475,5,13.4,0.373,20.5,26.8,0.764,14,17.2,11,32.4,43.5,26.5,9.3,4.6,107.2,11.7,0.834,0.317,0.135,0.104,0.278,0.166,0.486,0.626,0.383,0.402,0.409,0.367,0.56,0.049,318,0.866,0.317,0.399,8,0
Portland Trailblazers,96.65,93.66,2.99,89.31,107.4,104.02,3.38,0.485,0.489,0.528,0.527,49,33,52.3,112.39,106.12,50,0.485,0.489,0.218,0.202,0.151,0.155,0.318,0.267,107.4,104.02,6.32,6.31,14.7,12.06,33.12,31.53,26.1,26.34,9.51,8.29,4.99,5.55,15.14,15.54,21.86,22.36,1,130,19459,16484,28,23,9,4,3,1,0,3,0,1,6,6,1,1,34.3,37.8,83.4,0.453,6.4,18,0.356,17.1,22.2,0.771,13.3,17.4,12.8,31.4,44.2,24.4,8.5,4.5,99.1,12.4,0.802,0.307,0.123,0.117,0.255,0.198,0.474,0.612,0.361,0.397,0.397,0.354,0.602,0.068,425,0.856,0.208,0.394,11,0
Phoenix Suns,95.15,95.83,-0.68,91.61,103.08,103.76,-0.69,0.472,0.476,0.51,0.521,36,46,49.85,107.65,109.18,44,0.472,0.476,0.18,0.227,0.154,0.159,0.301,0.298,103.08,103.76,4.73,5.72,14.16,13.6,32.11,32.92,24.28,24.05,8.83,9.05,5.3,6.27,15.42,15.86,23.58,20.09,0,116,16316,16766,24,15,1,1,1,1,0,2,1,0,10,8,0,1,32.4,39.7,87.9,0.452,3.1,9.5,0.323,15.9,20.6,0.772,15.2,18.9,12.9,29.9,42.8,24.9,8.2,5.1,98.4,11.1,0.842,0.33,0.142,0.162,0.208,0.158,0.469,0.588,0.388,0.387,0.4,0.327,0.567,0.045,286,0.796,0.219,0.313,7,0
Philadelphia 76ers,90.99,89.39,1.6,89.31,101.62,99.57,2.06,0.452,0.46,0.507,0.503,43,39,52.14,103.9,100.18,48,0.452,0.46,0.255,0.208,0.16,0.156,0.317,0.279,101.62,99.57,2.92,5.95,14.87,13.33,34.51,31.89,22.31,24.02,9.6,8.88,4.94,6.22,16.02,15.58,22.41,24.82,0,115,20560,18720,46,12,9,6,2,3,0,2,0,4,6,4,1,1,35.2,36.8,83.8,0.439,2.5,8.6,0.291,23,29,0.792,14.7,17.3,13.2,32.4,45.6,20.6,8,4.8,99,10.8,0.889,0.304,0.149,0.217,0.218,0.111,0.453,0.592,0.395,0.345,0.405,0.299,0.558,0.024,141,0.897,0.238,0.406,3,0
Orlando Magic,100.49,98.92,1.57,93.25,106.94,105.39,1.55,0.493,0.486,0.533,0.526,44,38,47.61,111.1,113.7,42,0.493,0.486,0.21,0.215,0.141,0.161,0.263,0.308,106.94,105.39,8.05,5.31,12.21,14.12,31.66,34.21,23.41,25.07,8.61,8.55,4.97,4.98,14.07,16.13,22.06,22.61,0,117,15149,17346,19,12,3,4,3,2,0,1,0,4,5,8,1,1,31.9,38.6,85.7,0.45,8,21.2,0.376,18.4,24,0.766,12.1,16.4,11.2,30.1,41.2,24.4,8.4,4.3,103.6,12.9,0.759,0.294,0.113,0.109,0.242,0.241,0.471,0.61,0.377,0.369,0.394,0.373,0.519,0.046,275,0.845,0.192,0.417,7,0
New York Knicks,91.63,95.62,-3.99,89.66,101.55,105.96,-4.41,0.468,0.479,0.514,0.525,30,52,48.79,99.71,109.4,37,0.468,0.479,0.216,0.236,0.156,0.143,0.256,0.281,101.55,105.96,6.41,5.99,11.84,12.96,33.22,34.32,23.25,23.81,7.54,9.27,3.89,5.2,15.61,14.31,24.33,22.57,2,110,19763,17083,19,10,6,0,4,1,0,2,1,1,13,10,0,0,34.4,37.2,84.8,0.438,6.2,16.6,0.376,18,22.3,0.808,13.5,19.2,10,29.9,39.9,21.8,6.3,3.4,98.6,12.5,0.794,0.246,0.159,0.19,0.198,0.206,0.453,0.556,0.419,0.403,0.399,0.353,0.566,0.021,124,0.829,0.271,0.354,5,1
New Jersey Nets,96.21,92.05,4.16,91.9,103.9,99.32,4.58,0.476,0.459,0.515,0.503,52,30,50.27,112.09,100.17,49,0.476,0.459,0.206,0.213,0.154,0.164,0.292,0.284,103.9,99.32,5.31,5.38,13.68,13.15,33.12,33.12,26.21,20.57,9.43,8.8,6.45,5.78,15.4,16.37,22.84,21.93,0,121,13761,16403,25,26,3,4,3,2,0,2,0,1,1,2,1,1,31.7,40.2,89.6,0.449,6.2,18.1,0.342,15.8,21.3,0.744,14.9,18.6,12.2,32.2,44.5,27.9,9.3,6.1,102.4,11.6,0.825,0.327,0.135,0.133,0.23,0.175,0.469,0.61,0.382,0.361,0.383,0.338,0.62,0.077,463,0.876,0.193,0.364,18,0
Minnesota Timberwolves,99.33,95.95,3.38,90.52,109.04,105.13,3.91,0.49,0.482,0.532,0.524,50,32,52.79,116.76,105.79,51,0.49,0.482,0.203,0.218,0.143,0.139,0.313,0.263,109.04,105.13,5.3,6.57,14.18,12.19,34.3,31.08,26.68,24.79,7.02,7.24,5.72,5.44,14.31,13.86,23.28,22.39,1,107,17846,16962,23,12,7,4,0,1,0,1,0,0,5,4,1,1,33,41.8,87.3,0.479,3.9,10.1,0.39,18.6,22.8,0.814,13.3,18.9,13.8,33.8,47.6,25.8,6.1,5.9,106.2,12.4,0.848,0.236,0.175,0.151,0.286,0.152,0.476,0.629,0.42,0.426,0.409,0.378,0.604,0.037,235,0.793,0.211,0.398,9,0
Milwaukee Bucks,97.51,97.73,-0.22,90.39,106.66,106.97,-0.31,0.507,0.477,0.544,0.52,41,41,49.35,111.35,110.32,42,0.507,0.477,0.201,0.218,0.148,0.132,0.257,0.291,106.66,106.97,7.91,6.58,11.22,14.02,34.11,32.54,24.64,25.15,7.95,8,5.18,4.82,14.83,13.24,23.85,21.92,3,107,18178,17043,49,20,4,2,2,1,0,4,0,3,9,7,0,1,32.5,39.8,85.5,0.466,7.4,19.6,0.38,17.9,22.8,0.785,13.7,18.9,8.7,31.3,40,25.6,7.4,4.1,105,13.1,0.759,0.237,0.126,0.236,0.16,0.241,0.49,0.571,0.466,0.466,0.425,0.375,0.55,0.036,215,0.841,0.268,0.399,18,0
Miami Heat,87.2,88.73,-1.54,87.27,98.66,100.25,-1.59,0.463,0.455,0.501,0.504,36,46,50.5,98.16,95.61,25,0.463,0.455,0.194,0.249,0.159,0.148,0.266,0.26,98.66,100.25,4.31,5.22,12.45,12.32,35.1,34.22,22.96,20.13,7.55,8.54,6.18,4.86,15.91,14.78,25.47,23.55,0,90,15989,16702,20,4,4,3,4,1,0,2,1,0,11,13,0,0,32.3,35,77.4,0.452,3.4,9.4,0.365,16.5,22.3,0.739,13.8,21.2,10.4,30.9,41.3,21.4,6.3,6.3,89.8,12.9,0.859,0.238,0.134,0.164,0.323,0.141,0.454,0.638,0.389,0.37,0.388,0.347,0.556,0.047,267,0.894,0.305,0.416,19,1
Memphis Grizzlies,89.9,97.34,-7.44,91.29,97.98,105.88,-7.9,0.462,0.486,0.501,0.524,23,59,47.9,99.57,116.59,28,0.462,0.486,0.204,0.197,0.172,0.154,0.278,0.32,97.98,105.88,4.47,5.28,13.08,15.06,32.07,33.96,23.72,26.01,8.59,10.36,6.49,6.06,17.15,15.44,20.88,23.66,1,112,14415,15842,18,25,3,1,3,2,0,3,1,3,13,12,0,0,34,35.3,79.9,0.441,4.3,14,0.311,16.1,22.7,0.708,15.4,17.1,12.1,29,41.1,22.5,7.6,5.7,90.9,11.6,0.832,0.288,0.176,0.135,0.233,0.168,0.462,0.622,0.362,0.37,0.394,0.307,0.613,0.075,445,0.723,0.215,0.352,11,0
Los Angeles Lakers,101.27,94.15,7.12,92.19,109.29,101.71,7.58,0.498,0.453,0.534,0.502,58,24,50.61,116.94,101.78,50,0.498,0.453,0.218,0.233,0.131,0.145,0.288,0.28,109.29,101.71,6.71,5.26,13.45,13.39,34.31,33.28,24.77,21.65,8.23,7.73,6.29,4.66,13.1,14.49,23.99,24.9,3,135,18995,20103,29,19,7,4,1,3,0,1,0,1,3,5,1,1,30.5,43.7,90.7,0.482,5.1,14.4,0.352,21.6,31.4,0.686,13.1,20.4,12.5,33.3,45.7,24.6,7.5,6.3,114.1,12.3,0.79,0.28,0.167,0.137,0.206,0.21,0.489,0.657,0.414,0.403,0.379,0.354,0.539,0.078,489,0.902,0.257,0.419,15,1
Los Angeles Clippers,95.68,96.15,-0.46,90.1,105.53,106.23,-0.7,0.476,0.477,0.519,0.515,39,43,50.81,107.21,109.54,27,0.476,0.477,0.225,0.194,0.155,0.136,0.313,0.301,105.53,106.23,5.49,5.48,14.57,14.34,33.28,32.05,23.05,25.05,6.86,8.25,7.26,5.92,15.47,13.6,21.84,23.92,0,127,18053,16569,18,7,3,1,3,0,0,3,1,2,9,13,0,0,32.2,35.9,79.7,0.451,4.3,11.9,0.36,19,25.1,0.758,13.9,19.2,13.9,31.4,45.4,21.7,5.8,7.1,95.2,11.3,0.828,0.261,0.23,0.184,0.153,0.172,0.464,0.632,0.404,0.38,0.369,0.356,0.523,0.056,342,0.919,0.113,0.408,9,0
Indiana Pacers,96.81,96.54,0.27,92.18,103.83,103.59,0.25,0.477,0.469,0.527,0.514,42,40,49.55,110.81,108.2,48,0.477,0.469,0.253,0.227,0.156,0.147,0.27,0.29,103.83,103.59,5.3,5.47,12.17,13.71,33.59,32.9,24.64,23.18,8.61,8.09,5.7,6.1,15.58,14.66,24.54,24.27,1,122,16745,16651,25,18,8,3,0,0,0,1,0,0,8,3,1,1,32.9,37.5,83.2,0.45,5.4,16.1,0.336,20.3,26.5,0.769,14.9,21.6,10.5,31.4,41.9,24.7,8.3,5.6,100.7,12.4,0.818,0.236,0.193,0.168,0.222,0.182,0.47,0.639,0.408,0.389,0.405,0.339,0.601,0.052,311,0.896,0.288,0.384,11,0
Houston Rockets,92.34,97.23,-4.89,88.55,102.71,108.34,-5.63,0.465,0.491,0.507,0.525,28,54,49.17,98.96,113.65,43,0.465,0.491,0.212,0.178,0.146,0.129,0.29,0.302,102.71,108.34,6.73,5.03,13.9,14.2,32.71,34.07,20.1,24.98,7.28,7.83,6.04,5.64,14.57,12.9,20.02,22.38,0,115,11737,16552,31,17,6,0,6,0,0,3,1,0,11,9,0,0,34.6,36.4,82.7,0.44,6.1,17.7,0.345,18.9,25.5,0.744,13.3,17.7,11.4,28.6,40,18.1,6.5,5.2,97.8,13,0.777,0.295,0.108,0.103,0.271,0.223,0.455,0.587,0.348,0.355,0.391,0.335,0.457,0.052,298,0.829,0.241,0.35,15,0
Golden State Warriors,97.67,103.07,-5.4,94.73,102.59,108.42,-5.83,0.452,0.488,0.499,0.533,21,61,51.88,106.68,119.65,38,0.452,0.488,0.242,0.232,0.17,0.145,0.353,0.306,102.59,108.42,4.1,5.18,17.09,14.11,31.93,31.43,21.85,25.68,8.33,9.06,6.7,6.62,16.97,14.52,24.13,25,1,136,14468,16203,28,21,5,0,5,0,0,2,1,1,14,11,0,0,30.8,39.4,90.6,0.435,3.8,12.2,0.314,20.7,28.5,0.727,16.3,21,17.6,31.9,49.4,20,7.9,5.9,103.4,10.6,0.858,0.297,0.235,0.111,0.215,0.142,0.447,0.64,0.326,0.372,0.351,0.322,0.532,0.04,254,0.881,0.193,0.359,15,1
Detroit Pistons,94.33,92.2,2.13,90.05,104.75,102.22,2.54,0.497,0.474,0.54,0.516,50,32,47.57,107.6,102.71,50,0.497,0.474,0.235,0.206,0.154,0.163,0.244,0.295,104.75,102.22,7.68,4.85,10.98,13.4,32.04,33.95,23.9,22.15,8.78,8.8,7.65,4.53,15.37,16.31,22.96,25.34,1,107,18556,16417,27,8,4,2,5,1,1,1,0,0,2,1,1,1,32.2,33.3,75.8,0.44,6.6,18.4,0.36,17.4,23.6,0.738,12.8,18.1,9.9,29.9,39.8,21.2,8,8.1,90.7,12.7,0.76,0.283,0.124,0.146,0.207,0.24,0.475,0.613,0.42,0.356,0.404,0.376,0.555,0.048,270,0.884,0.306,0.398,6,1
