Team,Pts,Opp Pts,Avg. Mrg,Pace,Off Eff,Def Eff,Net Rtg,EFg%,Opp EFg%,Ts%,Opp Ts%,Win,Loss,Reb Rate,Eff Pts,Opp Eff Pts,Future Wins,Team EFg%,Opp EFg%,Team FT Rate,Opp FT Rate%,Team TO Rate,Opp TO Rate,Team Off. Reb.%,Opp Reb Rate%,Pts,Opp. Pts,3PTM,Opp. 3PTM,OReb,Opp. OReb,DReb,Opp. DReb,Ast,Opp. Ast,Stl,Opp. Stl,Blk,Opp. Blk,TO,Opp. TO,Foul,Opp. Foul,4 Point Plays,'And one' Plays,Avg. Home Attendance,Avg. Away Attendance,Defensive Goaltending Vio.,Kicked Ball Vio.,Ejections,Won Without Trailing,Lost Without Taking Lead,Player Signings,Large Player Signings,Draft Picks,Top 10 Draft Picks,Trades,Seed Number,Future Seed Number,Playoff,Future Playoff,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Dist.,2P,0--3,3--10,10--16,16 <3,3P,2P,0--3,3--10,10--16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Washington Wizards,104.34,104.85,-0.51,94.17,109.96,110.71,-0.75,0.491,0.517,0.542,0.562,41,41,48.93,112.17,118.4,43,0.491,0.517,0.272,0.249,0.139,0.16,0.281,0.29,109.96,110.71,7.21,7.7,12.83,12.53,30.58,32.85,21.33,25.01,8.16,6.68,4.82,4.89,13.94,15.99,23.43,24.81,6,169,18373,17270,16,11,1,1,3,0,0,2,0,1,7,5,1,1,33.4,41.3,91,0.454,8.1,23,0.354,25.6,33,0.776,14,19.6,11.7,29.4,41.1,21.3,8.6,3.8,116.4,13.2,0.763,0.294,0.121,0.079,0.269,0.237,0.482,0.626,0.386,0.355,0.405,0.348,0.487,0.041,268,0.781,0.208,0.352,8,1
Utah Jazz,101.49,98.62,2.87,91.66,110.02,106.84,3.18,0.502,0.496,0.551,0.554,51,31,53.45,115.59,104.52,54,0.502,0.496,0.283,0.314,0.163,0.159,0.317,0.249,110.02,106.84,4.68,6.69,13.62,10.74,32.47,29.37,26.76,20.51,7.63,8.23,4.48,5.79,16.34,15.88,27.33,26.56,1,134,19566,17501,16,22,3,2,4,2,0,2,0,1,4,4,1,1,31.5,39.8,83.6,0.476,4.9,15.2,0.325,22.3,29.8,0.749,15.4,21.9,11.1,31.2,42.3,29.3,6.5,4.2,106.9,11.4,0.837,0.359,0.107,0.113,0.257,0.163,0.501,0.621,0.371,0.401,0.432,0.335,0.632,0.039,239,0.867,0.159,0.298,13,0
Toronto Raptors,99.48,98.49,0.99,92.6,107.02,105.86,1.16,0.504,0.503,0.55,0.543,47,35,48.11,111.22,108.63,41,0.504,0.503,0.239,0.219,0.139,0.156,0.222,0.255,107.02,105.86,6.97,6.99,9.91,11.12,32.54,34.62,23.91,22.83,7.62,6.41,4.21,4.16,13.91,15.64,21.94,23.41,1,138,18259,17347,21,15,1,5,2,3,1,0,0,2,3,6,1,1,30.3,37.4,79.4,0.47,5,13.5,0.372,20.3,25.4,0.799,13,17.3,9.5,31.7,41.2,24,6.9,4.1,100,13.2,0.776,0.277,0.109,0.117,0.273,0.224,0.492,0.619,0.429,0.379,0.437,0.363,0.536,0.04,229,0.906,0.329,0.427,13,1
Seattle SuperSonics,99.15,102.04,-2.89,91.69,107.31,110.46,-3.14,0.499,0.515,0.544,0.558,31,51,49.15,107.77,114.48,20,0.499,0.515,0.228,0.243,0.157,0.155,0.278,0.291,107.31,110.46,6.93,6.85,12.25,12.59,30.65,31.79,22.37,24.69,8.33,7.79,3.97,4.5,15.69,15.49,23.77,21.58,6,139,15955,17436,32,22,1,4,2,0,0,3,1,4,14,15,0,0,32.9,40.1,85.9,0.467,7.6,20.4,0.373,20.4,25.4,0.801,14,20,10.9,29,39.8,21.3,7.7,3.2,108.2,11.8,0.781,0.291,0.183,0.137,0.17,0.219,0.487,0.625,0.421,0.391,0.401,0.362,0.503,0.061,359,0.811,0.235,0.349,14,0
San Antonio Spurs,98.52,90.1,8.43,89.17,109.93,100.54,9.39,0.521,0.471,0.561,0.511,58,24,50.99,113.7,94.38,56,0.521,0.471,0.235,0.201,0.148,0.154,0.242,0.243,109.93,100.54,8.1,5.01,10.36,11.28,35.07,32.38,24.68,19.27,7.99,7.89,5.67,4.59,14.82,15.39,21.61,23.67,1,135,18654,17464,9,27,3,6,0,1,0,3,0,2,3,3,1,1,28.8,39.1,78.4,0.498,4.9,12.6,0.39,19.6,27.1,0.722,14.3,18,8.8,32.5,41.2,22.5,7.2,6,102.6,12.7,0.753,0.288,0.155,0.107,0.204,0.247,0.504,0.653,0.444,0.406,0.392,0.381,0.523,0.025,128,0.934,0.384,0.406,9,0
Sacramento Kings,101.26,103.06,-1.81,94.67,106.29,108.1,-1.81,0.491,0.513,0.545,0.556,33,49,47.32,106.96,115.73,38,0.491,0.513,0.29,0.24,0.148,0.166,0.231,0.275,106.29,108.1,6.78,7.13,10.2,11.6,30.67,33.87,21.31,23.54,8.59,7.32,3.39,5.18,14.76,16.55,22.94,25.45,1,145,17317,17283,12,30,3,3,5,3,1,1,1,0,11,11,0,0,32.1,37.9,84.4,0.449,7.4,20.9,0.353,24.7,31.4,0.788,13.9,18.4,9.2,29,38.1,22.2,8.6,2.6,107.9,12.7,0.768,0.294,0.142,0.077,0.255,0.232,0.48,0.6,0.418,0.38,0.408,0.35,0.502,0.035,206,0.858,0.194,0.357,4,0
Portland Trailblazers,94.11,98.4,-4.29,88.13,105.31,110.01,-4.7,0.483,0.508,0.53,0.557,32,50,50.19,100.4,109.63,41,0.483,0.508,0.241,0.267,0.16,0.149,0.282,0.27,105.31,110.01,5.81,6.37,12.6,11.59,31.37,32,20.65,23.22,7.57,7.35,5.19,5.18,16.01,14.85,26.35,23.86,2,116,16360,17558,24,23,1,3,2,1,0,5,1,4,12,10,0,0,29.8,36.4,79,0.461,5.1,14,0.368,20.3,25.7,0.791,14.8,21.6,11.3,28.9,40.2,19.2,6.6,3.7,98.3,12.2,0.807,0.288,0.162,0.105,0.253,0.193,0.474,0.589,0.441,0.38,0.405,0.346,0.464,0.033,185,0.885,0.363,0.396,23,0
Phoenix Suns,110.21,102.9,7.31,95.01,114.68,106.88,7.81,0.552,0.492,0.59,0.533,61,21,48.59,127.57,108.27,55,0.552,0.492,0.215,0.206,0.146,0.152,0.227,0.281,114.68,106.88,9.96,6.38,9.35,12.77,32.78,31.72,26.93,19.61,7.02,7.17,5,3.85,14.56,15.17,21.05,22.28,6,167,18422,18541,28,32,2,3,0,1,0,3,0,2,2,6,1,1,35.1,42,81.9,0.513,8.6,21.2,0.404,19,23.6,0.806,15.2,18.7,9.6,32.6,42.2,28.3,6.8,5,111.7,13.1,0.713,0.31,0.104,0.097,0.202,0.287,0.532,0.671,0.455,0.433,0.407,0.399,0.557,0.063,389,0.856,0.315,0.448,15,0
Philadelphia 76ers,94.94,97.96,-3.02,90.56,103.79,107.02,-3.24,0.48,0.501,0.53,0.542,35,47,49.09,103.72,108.85,40,0.48,0.501,0.256,0.221,0.161,0.163,0.272,0.292,103.79,107.02,3.79,6.7,11.99,12.91,31.37,32.03,22.25,24.31,7.87,8.07,5.2,4.26,16.09,16.33,22.28,23.99,4,134,14844,17850,59,28,0,2,1,0,0,4,0,3,10,7,0,1,32.5,35.8,77,0.465,2.2,7,0.307,20.6,26.7,0.771,15.6,18.4,11.4,28.9,40.3,23.5,7.6,5,94.3,11.4,0.872,0.321,0.117,0.171,0.262,0.128,0.474,0.616,0.381,0.373,0.408,0.345,0.535,0.069,407,0.887,0.213,0.394,16,0
Orlando Magic,94.77,93.99,0.78,89.42,105.44,104.69,0.76,0.5,0.48,0.544,0.534,40,42,51.99,101.85,100.96,52,0.5,0.48,0.276,0.286,0.181,0.158,0.293,0.264,105.44,104.69,4.64,6.26,12.48,11.75,32.81,30.11,20.69,21.86,7.67,9.21,5.65,5.11,18.1,15.78,25.84,26.09,2,156,17095,17471,35,16,2,4,4,1,0,1,0,3,8,3,1,1,30.5,37.1,76.1,0.488,3.8,10.7,0.358,21.4,30.8,0.696,17.4,22.1,11.5,33.1,44.5,18.7,6.5,5.1,99.5,10.8,0.842,0.361,0.15,0.106,0.225,0.158,0.494,0.631,0.415,0.36,0.391,0.356,0.483,0.078,436,0.883,0.291,0.382,6,0
