Team,Pts,Opp Pts,Avg. Mrg,Pace,Off Eff,Def Eff,Net Rtg,EFg%,Opp EFg%,Ts%,Opp Ts%,Win,Loss,Reb Rate,Eff Pts,Opp Eff Pts,Future Wins,Team EFg%,Opp EFg%,Team FT Rate,Opp FT Rate%,Team TO Rate,Opp TO Rate,Team Off. Reb.%,Opp Reb Rate%,Pts,Opp. Pts,3PTM,Opp. 3PTM,OReb,Opp. OReb,DReb,Opp. DReb,Ast,Opp. Ast,Stl,Opp. Stl,Blk,Opp. Blk,TO,Opp. TO,Foul,Opp. Foul,4 Point Plays,'And one' Plays,Avg. Home Attendance,Avg. Away Attendance,Defensive Goaltending Vio.,Kicked Ball Vio.,Ejections,Won Without Trailing,Lost Without Taking Lead,Player Signings,Large Player Signings,Draft Picks,Top 10 Draft Picks,Trades,Seed Number,Future Seed Number,Playoff,Future Playoff,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Dist.,2P,0--3,3--10,10--16,16 <3,3P,2P,0--3,3--10,10--16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Washington Wizards,100.5,100.83,-0.33,93.68,106.74,107.29,-0.56,0.474,0.498,0.523,0.541,45,37,49.86,106.48,113.5,42,0.474,0.498,0.264,0.23,0.147,0.161,0.311,0.3,106.74,107.29,6.66,6.76,14.67,13.2,30.75,32.57,20.24,24.46,9.27,7.61,4.49,5.35,14.69,16.05,23.4,25.89,1,144,17197,16862,31,12,5,2,4,3,1,1,0,1,5,5,1,1,33.8,39.9,89.5,0.446,6.5,19.1,0.338,25.6,34.5,0.74,14.1,19.9,13.3,29.3,42.6,20,9.6,4.2,111.9,12.5,0.78,0.268,0.188,0.118,0.206,0.22,0.463,0.664,0.323,0.345,0.396,0.343,0.478,0.053,339,0.763,0.208,0.321,8,1
Utah Jazz,92.99,97.26,-4.27,88.85,104.12,109.16,-5.03,0.469,0.499,0.522,0.559,26,56,51.58,102.5,106.95,41,0.469,0.499,0.273,0.34,0.167,0.157,0.32,0.277,104.12,109.16,3.41,6.65,14.3,11.76,30.63,30.52,24.94,21.79,7.39,8.84,5.11,6.49,16.73,15.69,29.89,28.17,0,122,18756,16924,11,20,5,1,4,0,0,3,1,3,14,9,0,0,28.1,35.9,77.7,0.462,2.7,7.8,0.349,22.3,29.4,0.76,14.5,25,12.8,27.7,40.4,22.2,6.9,5,97,11.6,0.879,0.336,0.093,0.137,0.312,0.121,0.465,0.589,0.363,0.378,0.402,0.328,0.625,0.042,243,0.86,0.252,0.38,14,0
Toronto Raptors,99.73,101.35,-1.62,92.69,106.92,108.49,-1.57,0.492,0.499,0.539,0.543,33,49,46.98,108.05,115.09,27,0.492,0.499,0.244,0.24,0.135,0.148,0.237,0.289,106.92,108.49,8.47,5.68,11.03,12.94,31.95,35.51,21.83,23.68,8.12,6.62,4.14,4.7,13.53,14.83,24.53,23.43,4,138,17156,16678,26,18,3,0,4,1,0,4,1,0,11,12,0,0,30.6,36.9,84,0.438,7.1,19,0.374,22.2,28.3,0.784,13.4,20.4,9.4,29.1,38.5,21.4,7.7,4,103,12.9,0.747,0.283,0.123,0.136,0.206,0.253,0.463,0.564,0.403,0.402,0.401,0.385,0.488,0.04,232,0.843,0.384,0.416,13,0
Seattle SuperSonics,98.94,96.65,2.29,88.07,111.92,109.3,2.62,0.495,0.496,0.546,0.542,52,30,51.92,106.59,104.74,35,0.495,0.496,0.259,0.249,0.143,0.145,0.324,0.287,111.92,109.3,9.19,6.48,14.36,12.83,31.88,29.98,20.51,23.42,7.63,7.01,4.66,5.38,14.33,14.52,26.82,26.88,3,139,16475,17030,15,25,9,3,4,2,0,3,0,1,3,11,1,0,29.7,36.9,83.4,0.442,9.2,24.3,0.379,18.8,24.2,0.778,13.1,20.5,12,27.4,39.5,19.4,6.8,4.4,101.8,12.9,0.719,0.276,0.16,0.118,0.165,0.281,0.474,0.605,0.397,0.397,0.385,0.365,0.411,0.04,234,0.865,0.239,0.399,19,0
San Antonio Spurs,96.2,88.39,7.81,88.88,107.55,98.81,8.74,0.492,0.452,0.534,0.502,59,23,51.33,111.11,93.35,63,0.492,0.452,0.238,0.236,0.146,0.162,0.291,0.264,107.55,98.81,6.91,4.4,13.46,12.18,33.94,32.76,24.15,18.88,8.36,8.1,7.4,5.74,14.56,16.2,23.41,25.78,3,114,18316,17420,9,25,2,11,0,2,0,1,0,0,2,1,1,1,30.8,38.5,81.7,0.471,5.4,14.5,0.369,19.2,27.3,0.702,13,18.7,12.2,32,44.2,23.2,7.2,7.6,101.6,11.6,0.784,0.293,0.201,0.118,0.173,0.216,0.478,0.637,0.399,0.378,0.369,0.363,0.536,0.034,187,0.939,0.431,0.388,8,0
Sacramento Kings,103.72,101.56,2.16,93.41,110.05,107.71,2.35,0.496,0.493,0.541,0.532,50,32,48.9,118.77,113.1,44,0.496,0.493,0.226,0.214,0.134,0.15,0.288,0.31,110.05,107.71,6.76,6.09,13.24,14.25,31.77,32.75,25.95,22.84,8.72,8.05,4.09,4.72,13.42,15,21.8,22.79,0,131,17317,17703,12,25,3,1,1,3,1,1,0,2,6,8,1,1,36,40.4,88.1,0.458,7.1,18.6,0.38,20.4,25.4,0.806,12.9,18,11,29.9,40.9,26.7,8.5,3.9,108.3,13.4,0.8,0.258,0.125,0.081,0.336,0.2,0.48,0.618,0.435,0.38,0.415,0.374,0.582,0.039,238,0.852,0.254,0.418,9,0
Portland Trailblazers,92.94,96.94,-4,89.93,103.08,107.71,-4.63,0.484,0.479,0.524,0.519,27,55,49.36,104.17,111.89,21,0.484,0.479,0.219,0.204,0.168,0.14,0.296,0.323,103.08,107.71,5.68,5.96,13.12,15.57,32.52,31.33,23.29,26.06,7.89,9.49,7.36,5.61,16.79,13.98,23.04,22.63,0,106,16594,16659,56,24,5,0,5,2,0,3,1,3,13,15,0,0,33.7,36,79.1,0.455,5.6,15.4,0.363,16.7,22.5,0.745,14.9,18.6,11.8,29.9,41.7,22.3,6.6,6.2,94.4,11.1,0.819,0.335,0.161,0.11,0.213,0.181,0.471,0.611,0.382,0.341,0.384,0.362,0.553,0.076,446,0.84,0.213,0.397,10,0
Phoenix Suns,110.42,103.29,7.12,96.01,114.42,106.85,7.57,0.534,0.478,0.571,0.512,62,20,48.89,126.01,113.01,54,0.534,0.478,0.222,0.176,0.139,0.137,0.275,0.317,114.42,106.85,10.06,6.23,12.22,15.55,33.52,32.17,24.35,21.96,7.23,7.91,5.73,4.31,13.91,13.68,19.75,22.08,1,131,17709,17571,35,23,5,2,0,3,0,2,0,5,1,2,1,1,36.8,44.5,92.6,0.481,10,25.6,0.392,20.8,27,0.771,13.2,16,11.7,33.3,45,25.9,7.9,5,119.9,13,0.711,0.3,0.119,0.12,0.172,0.289,0.512,0.64,0.421,0.418,0.416,0.393,0.483,0.078,505,0.869,0.312,0.413,22,1
Philadelphia 76ers,99.12,99.87,-0.74,95.44,102.94,103.83,-0.89,0.475,0.485,0.528,0.537,43,39,48.8,108.1,111.98,38,0.475,0.485,0.257,0.267,0.157,0.17,0.255,0.273,102.94,103.83,6.4,7.16,11.51,12.07,32.12,33.76,21.66,23.81,9.58,8.64,4.07,4.86,15.74,17,23.78,24.46,2,119,17870,17934,43,27,3,2,1,3,0,1,0,2,7,9,1,0,32.3,38.4,86.7,0.442,6.3,18,0.35,22.5,28.6,0.787,16,20.9,10.4,31,41.4,23.2,10,4.3,105.6,12,0.784,0.323,0.12,0.129,0.213,0.216,0.462,0.587,0.374,0.349,0.391,0.348,0.521,0.05,317,0.869,0.253,0.414,7,0
Orlando Magic,99.51,101.76,-2.24,95.15,104.46,107.02,-2.56,0.478,0.484,0.529,0.532,36,46,50.92,108.63,111.54,36,0.478,0.484,0.265,0.255,0.164,0.146,0.3,0.287,104.46,107.02,4.1,5.68,13.29,13.13,32.57,31.14,20.26,22.41,8.1,8.95,5.65,4.54,16.42,14.58,24.8,24.63,1,143,14584,17510,38,28,3,3,2,2,0,3,0,2,10,10,0,0,33.3,38.4,81.8,0.469,2.8,7.9,0.359,24.9,32.2,0.772,16.8,20.6,12.8,31.9,44.8,21.1,8.1,5.9,104.6,11.6,0.863,0.327,0.106,0.154,0.276,0.137,0.471,0.597,0.373,0.399,0.4,0.349,0.487,0.069,422,0.813,0.204,0.385,7,0
