Team,Pts,Opp Pts,Avg. Mrg,Pace,Off Eff,Def Eff,Net Rtg,EFg%,Opp EFg%,Ts%,Opp Ts%,Win,Loss,Reb Rate,Eff Pts,Opp Eff Pts,Future Wins,Team EFg%,Opp EFg%,Team FT Rate,Opp FT Rate%,Team TO Rate,Opp TO Rate,Team Off. Reb.%,Opp Reb Rate%,Pts,Opp. Pts,3PTM,Opp. 3PTM,OReb,Opp. OReb,DReb,Opp. DReb,Ast,Opp. Ast,Stl,Opp. Stl,Blk,Opp. Blk,TO,Opp. TO,Foul,Opp. Foul,4 Point Plays,'And one' Plays,Avg. Home Attendance,Avg. Away Attendance,Defensive Goaltending Vio.,Kicked Ball Vio.,Ejections,Won Without Trailing,Lost Without Taking Lead,Player Signings,Large Player Signings,Draft Picks,Top 10 Draft Picks,Trades,Seed Number,Future Seed Number,Playoff,Future Playoff,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Dist.,2P,0--3,3--10,10--16,16 <3,3P,2P,0--3,3--10,10--16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Washington Wizards,96.24,101.02,-4.78,91.4,104.5,109.87,-5.37,0.481,0.502,0.524,0.546,26,56,49.7,103.49,114.37,23,0.481,0.502,0.216,0.239,0.153,0.139,0.276,0.276,104.5,109.87,5.72,7,12.79,12.4,32.55,33.55,20.62,23.5,6.53,7.55,5.58,5.5,15.33,13.9,23.2,22.33,0,121,16205,16488,31,15,1,1,1,1,0,3,1,3,14,13,0,0,32.7,38.3,84,0.456,5.6,15.8,0.355,18.8,24.7,0.762,14.5,19.1,11.5,31.9,43.5,20.5,6.1,4.4,101.1,12.6,0.817,0.279,0.148,0.116,0.274,0.183,0.471,0.619,0.359,0.403,0.408,0.353,0.474,0.043,277,0.775,0.233,0.382,14,0
Utah Jazz,104.23,98.89,5.34,93.42,111.14,105.55,5.6,0.524,0.492,0.566,0.542,53,29,51.85,123.73,106.56,39,0.524,0.492,0.252,0.269,0.156,0.154,0.269,0.244,111.14,105.55,5.71,7.19,11.34,10.89,33.65,30.93,28.44,21.19,8.78,8.23,5.2,5.79,15.55,15.37,24.17,23.66,4,165,19378,17096,11,33,4,6,2,1,0,2,1,2,5,11,1,0,32.3,40.5,81.7,0.495,5.3,14.8,0.357,21.2,27.5,0.771,15.1,20.3,9.9,32.6,42.5,29.4,8.2,4.2,107.5,10.9,0.816,0.383,0.121,0.092,0.22,0.184,0.519,0.637,0.422,0.409,0.415,0.364,0.652,0.064,375,0.841,0.205,0.453,9,0
Toronto Raptors,104.07,105.85,-1.78,92.58,111.85,113.6,-1.75,0.521,0.513,0.564,0.559,40,42,49.46,116.04,119.73,22,0.521,0.513,0.244,0.247,0.139,0.129,0.247,0.271,111.85,113.6,6.79,7.97,10.56,12.21,32.86,32.1,23.64,24.72,6.15,7.59,5.03,4.71,13.85,12.88,23.84,22.64,1,146,17897,16467,18,30,0,2,4,1,0,1,0,5,9,14,0,0,30.6,41.7,85.5,0.488,6.4,16.7,0.385,22.1,28.1,0.787,12.7,19.8,9.5,32.3,41.8,21.9,4.9,4.9,111.9,12.6,0.789,0.308,0.133,0.111,0.238,0.211,0.512,0.64,0.453,0.429,0.419,0.371,0.51,0.052,307,0.842,0.215,0.443,36,2
San Antonio Spurs,101.37,96.28,5.09,91.06,110.75,105.2,5.56,0.515,0.483,0.552,0.525,50,32,51.98,115.42,104.61,61,0.515,0.483,0.219,0.214,0.142,0.132,0.268,0.237,110.75,105.2,7.38,5.49,11.82,10.85,34.92,32.34,24.37,21,6.88,7.56,5.08,5.56,14.15,13.18,22.24,22.28,3,156,18090,17707,6,43,3,4,1,1,0,2,0,0,7,1,1,1,28.2,40.7,83.9,0.485,4.9,13.8,0.357,19.3,26,0.74,12.9,18.1,10.7,32.8,43.5,23.2,5.6,4.7,105.6,12.2,0.768,0.312,0.146,0.108,0.203,0.232,0.508,0.649,0.431,0.388,0.408,0.358,0.514,0.032,198,0.892,0.37,0.385,11,0
Sacramento Kings,100,104.37,-4.37,93.68,105.67,110.33,-4.66,0.491,0.505,0.528,0.551,25,57,50.35,107.92,116.42,24,0.491,0.505,0.207,0.244,0.15,0.139,0.278,0.265,105.67,110.33,6.21,6.41,12.59,11.72,32.45,32.72,21.64,21.7,7.27,7.56,4.72,6.03,15.01,13.94,23.54,21.27,2,134,13254,16974,13,20,3,2,3,2,0,2,1,2,14,14,0,0,31.4,40,87.7,0.456,5.1,14.9,0.341,19.3,26.1,0.74,14.6,20.2,11,30.5,41.4,21.5,6.8,4.7,104.4,11.6,0.799,0.327,0.159,0.094,0.22,0.201,0.483,0.61,0.385,0.427,0.388,0.349,0.471,0.037,231,0.882,0.251,0.418,17,0
Portland Trailblazers,98.11,94.81,3.31,87.2,111.52,107.57,3.95,0.499,0.502,0.548,0.542,50,32,51.35,110.21,102.06,48,0.499,0.502,0.249,0.22,0.131,0.145,0.282,0.252,111.52,107.57,6.81,6.64,12.66,11.08,33.03,32.13,23.21,21.9,7.25,6.71,4.85,4.61,13.1,14.54,23.77,24.45,2,140,20497,16546,30,11,0,4,3,1,1,2,0,2,6,6,1,1,32.2,39.1,82.3,0.475,5.1,14.8,0.346,20.1,25.8,0.779,11.1,17.9,11.6,29.7,41.3,21.4,6.3,4.4,103.4,12.9,0.785,0.286,0.111,0.133,0.255,0.215,0.49,0.625,0.425,0.408,0.41,0.354,0.494,0.044,263,0.91,0.342,0.389,27,0
Phoenix Suns,110.23,105.33,4.9,94.88,115.89,110.48,5.41,0.546,0.491,0.586,0.534,54,28,50.39,125.39,114.2,40,0.546,0.491,0.24,0.224,0.148,0.131,0.276,0.292,115.89,110.48,9.36,7.18,11.67,13.83,33.54,30.58,24.51,21.8,6.14,8.26,5.36,4.67,14.83,13.07,21.96,22.88,1,167,17648,17376,21,35,4,3,3,2,0,2,0,4,3,10,1,0,31,44.5,87.5,0.508,8.1,19.5,0.414,22.1,27.7,0.797,14.9,18.3,10.3,33.5,43.8,26.4,5,4.5,119.1,12.5,0.739,0.312,0.135,0.106,0.185,0.261,0.52,0.637,0.462,0.44,0.409,0.412,0.509,0.064,380,0.801,0.258,0.443,13,1
Philadelphia 76ers,97.73,101.63,-3.9,91.55,106.08,110.68,-4.6,0.496,0.518,0.534,0.56,27,55,50.03,109.87,114.67,41,0.496,0.518,0.204,0.231,0.15,0.149,0.276,0.268,106.08,110.68,6.27,8.05,12.46,11.79,32.05,32.8,22.81,24.04,8.83,8.25,5.81,4.41,15.02,14.86,22.2,20.37,0,131,14225,16889,34,29,1,1,3,1,0,1,1,1,13,7,0,1,32,37,79.9,0.464,5,14.7,0.344,16.5,21.7,0.758,15.2,17.5,11.5,30.8,42.2,23.6,8.5,5.7,95.6,12.1,0.794,0.311,0.127,0.146,0.209,0.206,0.491,0.615,0.427,0.387,0.416,0.343,0.502,0.061,392,0.865,0.251,0.399,22,1
Orlando Magic,102.76,95.27,7.49,91.13,112.47,104.15,8.32,0.536,0.477,0.573,0.518,59,23,51.94,115.22,100.76,52,0.536,0.477,0.246,0.205,0.149,0.131,0.246,0.226,112.47,104.15,11.23,6.96,10.81,10.67,36.52,33.08,21.56,20.66,6.83,7.35,6.09,3.84,14.91,13.15,21.74,24.25,4,129,17461,17766,49,12,3,4,0,2,0,2,0,0,2,4,1,1,31.1,38.5,80.4,0.479,10.1,26.2,0.384,21.6,30.9,0.7,14.5,19.8,9.9,35.6,45.6,20.3,6.6,5.8,108.8,13.7,0.65,0.301,0.123,0.082,0.144,0.35,0.521,0.63,0.468,0.408,0.405,0.375,0.421,0.057,345,0.837,0.282,0.421,23,0
Oklahoma City Thunder,101.49,98,3.49,92.8,108.67,104.72,3.95,0.494,0.483,0.547,0.528,50,32,51.69,115.87,105.09,55,0.494,0.483,0.268,0.229,0.152,0.154,0.286,0.264,108.67,104.72,5.46,6.27,12.54,12.21,34.04,31.24,21.4,21.08,8.54,8.03,6.28,5,15.2,15.42,22.76,22.87,1,149,18004,16877,18,28,0,3,0,1,0,4,0,6,8,4,1,1,32.4,40.7,88.9,0.457,5.4,16.3,0.329,25.1,30.4,0.825,15,17,10.5,31.2,41.7,22,8.2,5.1,111.8,11.5,0.815,0.332,0.125,0.135,0.223,0.185,0.49,0.612,0.43,0.406,0.393,0.34,0.48,0.064,389,0.883,0.232,0.333,7,0
