Team,Pts,Opp Pts,Avg. Mrg,Pace,Off Eff,Def Eff,Net Rtg,EFg%,Opp EFg%,Ts%,Opp Ts%,Win,Loss,Reb Rate,Eff Pts,Opp Eff Pts,Future Wins,Team EFg%,Opp EFg%,Team FT Rate,Opp FT Rate%,Team TO Rate,Opp TO Rate,Team Off. Reb.%,Opp Reb Rate%,Pts,Opp. Pts,3PTM,Opp. 3PTM,OReb,Opp. OReb,DReb,Opp. DReb,Ast,Opp. Ast,Stl,Opp. Stl,Blk,Opp. Blk,TO,Opp. TO,Foul,Opp. Foul,4 Point Plays,'And one' Plays,Avg. Home Attendance,Avg. Away Attendance,Defensive Goaltending Vio.,Kicked Ball Vio.,Ejections,Won Without Trailing,Lost Without Taking Lead,Player Signings,Large Player Signings,Draft Picks,Top 10 Draft Picks,Trades,Seed Number,Future Seed Number,Playoff,Future Playoff,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Dist.,2P,0--3,3--10,10--16,16 <3,3P,2P,0--3,3--10,10--16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Washington Wizards,104.07,104.56,-0.49,97.81,106,106.5,-0.5,0.511,0.515,0.544,0.555,41,41,48.59,116.67,117.61,49,0.511,0.515,0.192,0.218,0.142,0.159,0.206,0.223,106,106.5,8.81,9.15,9.23,9.6,33.39,35.49,24.9,22.93,8.81,8.22,4,4.41,14.15,15.86,21.22,20.51,1,141,17693,17787,12,32,3,1,2,7,1,0,0,1,10,4,0,1,30.8,40.9,87.6,0.467,9.1,24.2,0.375,15,19.7,0.76,14.6,18.4,10.1,32.9,43,27.8,9,4.7,105.9,12.9,0.718,0.291,0.129,0.111,0.188,0.282,0.501,0.638,0.41,0.415,0.4,0.358,0.548,0.039,254,0.872,0.246,0.382,14,1
Utah Jazz,97.68,95.89,1.79,90.47,106.49,104.6,1.89,0.501,0.495,0.54,0.534,40,42,51.9,108.29,104.45,51,0.501,0.495,0.213,0.21,0.155,0.145,0.259,0.223,106.49,104.6,9.23,8.63,11.7,10.16,35.43,33.55,20.67,20.86,8.39,8.67,5.58,5.12,15.45,14.53,22,21.67,6,117,19305,17378,14,26,2,4,2,1,1,4,0,5,9,5,0,1,30.6,37.3,81.9,0.456,8,22.1,0.363,19.8,26.6,0.743,14.5,18.1,10.8,33.3,44.1,19.6,7.6,5.9,102.5,12.3,0.703,0.282,0.177,0.119,0.126,0.297,0.488,0.633,0.394,0.401,0.378,0.355,0.435,0.06,363,0.821,0.314,0.389,22,0
Toronto Raptors,102.71,98.21,4.5,92.13,110.92,105.99,4.93,0.504,0.498,0.552,0.535,56,26,51.56,115.33,108.59,51,0.504,0.498,0.255,0.201,0.131,0.139,0.246,0.223,110.92,105.99,9.32,9.44,11.01,10.29,35.85,33.71,20.23,23.44,8.39,7.03,5.91,5.82,13.09,13.86,21.2,23.7,3,115,19826,17163,24,67,4,2,1,8,0,2,1,0,2,3,1,1,29.4,41.5,91.1,0.456,8.7,22.9,0.382,26.4,33.3,0.794,13.6,19.6,10.6,34.1,44.7,21.5,8,5.2,118.3,12.3,0.713,0.277,0.187,0.111,0.139,0.287,0.483,0.624,0.409,0.394,0.374,0.37,0.4,0.043,265,0.869,0.29,0.413,9,1
San Antonio Spurs,103.54,92.89,10.65,93.27,110.87,99.47,11.4,0.526,0.477,0.563,0.514,67,15,52.01,126.81,100.18,61,0.526,0.477,0.197,0.182,0.134,0.153,0.23,0.209,110.87,99.47,7.44,7.07,10.07,9.76,36.96,33.64,26.25,22.29,8.84,7.72,6.36,4.15,13.41,15.3,18.71,20.85,4,135,18450,17938,13,28,2,4,1,6,1,1,0,1,2,2,1,1,28.3,42.5,87.3,0.487,6,16.1,0.376,18.2,22.2,0.819,11.4,16.1,10.3,37.2,47.5,23,8.2,7.1,109.2,12.2,0.777,0.264,0.175,0.137,0.201,0.223,0.515,0.667,0.452,0.44,0.421,0.375,0.549,0.033,206,0.905,0.283,0.373,11,0
Sacramento Kings,106.59,109.06,-2.48,99.61,106.33,108.94,-2.62,0.51,0.521,0.546,0.557,33,49,49.56,119.85,124.13,32,0.51,0.521,0.214,0.202,0.155,0.156,0.239,0.251,106.33,108.94,8.03,10.22,10.56,11.28,33.57,33.68,24.44,24.19,8.93,8.8,4.47,5.31,15.5,15.61,20.39,21.93,6,128,17257,17355,28,27,4,4,2,5,1,2,1,2,10,12,0,0,29.9,41.9,90.4,0.464,7.5,20.6,0.365,20,28.1,0.711,18,20.8,11.2,37.5,48.6,29,10,4.9,111.3,11.6,0.74,0.297,0.223,0.066,0.155,0.26,0.5,0.65,0.404,0.411,0.389,0.359,0.55,0.059,374,0.856,0.23,0.418,15,0
Portland Trailblazers,105.15,104.32,0.83,95.82,109.04,108.47,0.57,0.511,0.503,0.548,0.543,44,38,51,116.42,116.42,41,0.511,0.503,0.202,0.225,0.146,0.133,0.259,0.238,109.04,108.47,10.93,8.88,12,11.01,35.17,34.44,22.11,22.45,7.11,7.99,4.78,5.35,14.6,13.29,22.54,20.25,10,111,19368,17704,31,20,2,1,3,4,1,0,0,2,5,8,1,1,28.7,42.3,96,0.441,12.2,32.4,0.377,20.5,26.2,0.785,15.9,20.3,10.7,32.3,42.9,26.4,7.2,4.6,117.5,13.3,0.668,0.282,0.137,0.092,0.157,0.332,0.49,0.607,0.361,0.436,0.423,0.37,0.469,0.052,328,0.771,0.238,0.388,11,0
Phoenix Suns,100.87,107.52,-6.66,98.17,102.62,109.58,-6.97,0.487,0.523,0.526,0.563,23,59,50.63,107.24,123.02,24,0.487,0.523,0.204,0.237,0.169,0.146,0.254,0.23,102.62,109.58,9.16,9.57,11.7,10.12,33.91,34.43,21.1,22.83,7.84,9.72,3.88,5.58,16.85,14.57,23.05,22,3,114,17107,17303,8,28,1,0,6,2,1,4,1,1,14,15,0,0,30.4,36.9,85.1,0.434,7.7,23,0.335,18.6,24.1,0.774,18.1,21.2,12.2,33.8,46.1,22.8,7.9,3.8,100.2,12.6,0.698,0.3,0.151,0.092,0.155,0.302,0.472,0.614,0.349,0.396,0.362,0.348,0.47,0.056,351,0.831,0.226,0.368,12,0
Philadelphia 76ers,97.42,107.65,-10.23,97.29,99.5,110.23,-10.73,0.487,0.51,0.519,0.555,10,72,46.44,104.24,127.18,28,0.487,0.51,0.186,0.24,0.159,0.148,0.207,0.26,99.5,110.23,9.52,7.97,9.69,11.41,32.45,37.31,21.99,23.96,8.47,8.88,6.17,5.82,15.93,14.8,22.17,19.62,10,98,14881,17492,30,23,0,1,6,8,0,3,1,2,15,14,0,0,28.8,37.7,87.3,0.432,8.7,25.8,0.339,16.4,23.7,0.693,16.2,20.7,10.3,33.2,43.4,21.6,8.5,6.9,100.6,12.4,0.673,0.311,0.166,0.096,0.099,0.327,0.476,0.628,0.341,0.361,0.338,0.339,0.501,0.061,377,0.861,0.234,0.366,14,1
Orlando Magic,102.06,103.68,-1.62,95.57,105.59,107.13,-1.54,0.5,0.513,0.533,0.551,35,47,49.44,116.49,118.38,29,0.5,0.513,0.175,0.215,0.141,0.15,0.231,0.235,105.59,107.13,8.02,9.22,10.64,10.48,34.18,35.28,24.39,23.93,8.5,7.81,5.26,5.65,14.07,15.03,21.46,18.86,1,123,17543,17175,10,36,0,3,5,3,2,3,0,5,11,13,0,0,30.2,41,88.3,0.465,7.3,20.5,0.357,15.8,20.8,0.76,13.3,18.7,10.2,32.3,42.4,25.1,8.7,4.3,105.2,12.5,0.745,0.296,0.15,0.093,0.206,0.255,0.492,0.609,0.422,0.409,0.409,0.35,0.528,0.045,284,0.873,0.241,0.37,21,0
Oklahoma City Thunder,110.22,102.94,7.28,96.34,113.54,106.07,7.47,0.524,0.484,0.566,0.524,55,27,54.74,128.88,110.38,47,0.524,0.484,0.228,0.205,0.159,0.129,0.311,0.241,113.54,106.07,8.52,8.38,13.43,11.61,36.65,29.81,23.66,22.2,7.58,9.04,6.12,4.69,15.94,12.91,21.24,20.77,2,140,18203,18259,14,30,1,4,1,2,0,0,0,3,3,6,1,1,29.9,44.6,91.4,0.488,8,23.7,0.338,23.5,29.5,0.796,16.9,19.1,13,38.8,51.7,27.7,7.8,7.6,120.8,11.9,0.725,0.33,0.126,0.122,0.146,0.275,0.524,0.626,0.438,0.478,0.41,0.349,0.508,0.07,447,0.758,0.291,0.357,6,0
