Team,Pts,Opp Pts,Avg. Mrg,Pace,Off Eff,Def Eff,Net Rtg,EFg%,Opp EFg%,Ts%,Opp Ts%,Win,Loss,Reb Rate,Eff Pts,Opp Eff Pts,Future Wins,Team EFg%,Opp EFg%,Team FT Rate,Opp FT Rate%,Team TO Rate,Opp TO Rate,Team Off. Reb.%,Opp Reb Rate%,Pts,Opp. Pts,3PTM,Opp. 3PTM,OReb,Opp. OReb,DReb,Opp. DReb,Ast,Opp. Ast,Stl,Opp. Stl,Blk,Opp. Blk,TO,Opp. TO,Foul,Opp. Foul,4 Point Plays,'And one' Plays,Avg. Home Attendance,Avg. Away Attendance,Defensive Goaltending Vio.,Kicked Ball Vio.,Ejections,Won Without Trailing,Lost Without Taking Lead,Player Signings,Large Player Signings,Draft Picks,Top 10 Draft Picks,Trades,Seed Number,Future Seed Number,Playoff,Future Playoff,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Dist.,2P,0--3,3--10,10--16,16 <3,3P,2P,0--3,3--10,10--16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
New York Knicks,95.85,97.21,-1.35,90.85,104.58,106.03,-1.45,0.486,0.485,0.528,0.536,37,45,47.56,104.15,110.15,39,0.486,0.485,0.196,0.261,0.148,0.151,0.244,0.282,104.58,106.03,8.06,4.76,11.2,12.44,31.61,34.76,23.95,23.04,7.7,8.34,3.39,4.1,14.82,15.1,25.12,21.7,0,109,19012,17105,5,9,1,1,1,0,0,3,1,1,10,7,0,1,32.7,38.8,86.9,0.446,8.1,21,0.386,16.5,19.8,0.832,13.4,21.3,8.5,27.3,35.8,22.6,6.4,2.9,102.2,13.5,0.765,0.21,0.145,0.188,0.222,0.235,0.459,0.554,0.437,0.436,0.403,0.383,0.555,0.017,102,0.807,0.263,0.425,12,0
New Orleans Hornets,93.89,91.78,2.11,89.83,103.34,101.33,2.01,0.465,0.464,0.511,0.511,47,35,52.15,106.74,100.44,41,0.465,0.464,0.219,0.226,0.155,0.156,0.317,0.269,103.34,101.33,5.42,4.55,14.73,12.24,33.22,31.88,24.26,21.95,8.81,8.71,5.29,5.75,15.45,15.61,23.75,23.62,0,96,15651,16482,20,7,1,1,0,2,0,2,0,0,5,5,1,1,34.6,37.2,83.9,0.444,6.1,16,0.382,18,23.2,0.774,13.7,18.5,12.8,30,42.8,23.5,7.5,4.2,98.6,12,0.839,0.278,0.132,0.187,0.241,0.161,0.447,0.563,0.392,0.402,0.377,0.376,0.582,0.043,259,0.854,0.251,0.43,6,0
New Jersey Nets,95.37,90.15,5.22,91.52,103.81,97.82,5.99,0.468,0.46,0.518,0.505,49,33,50.91,108.79,97.78,47,0.468,0.46,0.252,0.225,0.157,0.172,0.287,0.269,103.81,97.82,4.59,5.62,13.16,12.33,33.56,32.57,25.05,21.27,9.52,9.17,4.97,5.6,15.72,17.18,23.52,24.88,1,131,15185,16957,23,33,7,3,3,1,1,2,0,1,2,2,1,1,32.8,37.7,83,0.454,4.3,12.8,0.338,22.8,30.1,0.757,14.9,18.8,12,32.1,44.2,25.9,9.3,4.5,102.5,11.3,0.842,0.34,0.133,0.112,0.258,0.158,0.462,0.603,0.371,0.362,0.366,0.332,0.617,0.069,406,0.89,0.19,0.389,11,0
Minnesota Timberwolves,98.12,96.05,2.07,91.95,106.04,103.91,2.13,0.488,0.472,0.529,0.512,51,31,51.11,116.18,106.71,58,0.488,0.472,0.207,0.203,0.144,0.14,0.282,0.272,106.04,103.91,3.9,6.23,12.64,12.85,34.45,32.24,27.28,24.68,7.29,7.53,5.71,5.34,14.38,14.04,22.46,22.24,0,93,15700,16658,19,10,1,1,0,4,1,2,0,2,4,1,1,1,32.5,41.7,87.6,0.476,3.9,10.6,0.373,16.7,21.4,0.78,13.6,18.8,11.6,34.1,45.7,26.6,6.5,5.7,104.1,12.3,0.882,0.249,0.15,0.156,0.327,0.118,0.479,0.622,0.435,0.42,0.418,0.368,0.632,0.043,278,0.851,0.239,0.37,7,1
Milwaukee Bucks,99.49,99.26,0.23,90.67,108.48,108.3,0.18,0.5,0.494,0.543,0.538,42,40,47.66,111.48,112.35,41,0.5,0.494,0.222,0.237,0.132,0.149,0.256,0.301,108.48,108.3,7.78,6.37,11.65,13.59,31.48,33.81,24.24,25.18,8.27,7.23,4.58,4.43,13.25,14.88,24.2,22.42,2,100,16243,16328,11,15,2,1,3,4,0,3,1,2,7,6,1,1,30.8,38.7,84.4,0.459,6,16.3,0.369,19.1,23.9,0.801,12.7,21.5,9.7,28.8,38.5,23.4,6.6,3.6,102.6,12.6,0.771,0.267,0.136,0.191,0.177,0.229,0.478,0.599,0.406,0.431,0.403,0.383,0.527,0.029,171,0.899,0.259,0.352,13,0
Miami Heat,85.56,90.61,-5.05,87.71,96.81,102.36,-5.54,0.439,0.47,0.483,0.52,25,57,49.66,91.73,101.1,42,0.439,0.47,0.198,0.257,0.151,0.154,0.268,0.261,96.81,102.36,4.8,5.59,13.08,12.01,34,35.64,20.71,20.42,8.17,8.62,4.47,6.01,15.14,15.39,25.61,23.02,0,95,15323,15845,15,18,6,0,8,5,1,2,1,0,13,4,0,1,31.8,33.6,78.8,0.426,3.8,10.8,0.352,16.9,21,0.802,13.8,22.1,11.2,29.9,41.1,18.4,7.3,3.9,87.9,12.9,0.831,0.251,0.127,0.154,0.299,0.169,0.432,0.561,0.391,0.362,0.378,0.316,0.519,0.034,183,0.825,0.278,0.359,20,0
Memphis Grizzlies,97.5,100.73,-3.23,92.75,103.8,107.13,-3.33,0.487,0.491,0.526,0.529,28,54,48.08,110.16,118.07,50,0.487,0.491,0.212,0.197,0.158,0.152,0.27,0.314,103.8,107.13,6.06,5.59,12.24,14.6,32.02,33.14,24.57,25.82,8.45,9.26,6.49,5.58,15.76,15.2,21.79,23.11,3,123,14910,16277,22,20,2,3,3,2,0,2,0,1,12,6,0,1,31.8,38.5,82.9,0.464,6.2,16.6,0.376,18.5,24.7,0.748,14.4,18.3,11.2,30.8,41.9,23.6,6.6,6.7,101.7,11.9,0.81,0.287,0.173,0.132,0.218,0.19,0.473,0.614,0.404,0.377,0.399,0.365,0.584,0.061,371,0.822,0.258,0.421,13,0
Los Angeles Lakers,100.37,98.04,2.33,92.76,106.84,104.57,2.28,0.486,0.477,0.528,0.525,50,32,51.27,114.59,107.38,56,0.486,0.477,0.228,0.241,0.15,0.148,0.302,0.273,106.84,104.57,6.31,6.05,14,12.45,33.16,32.45,24.78,22.8,8.3,8.38,6.1,4.05,14.96,14.75,24.33,24.92,1,146,18973,19107,19,21,3,2,1,9,1,2,0,0,5,2,1,1,33.3,42.5,91,0.467,5.9,15.8,0.373,23.6,32,0.737,14.5,20.3,12.3,31.5,43.8,24.6,8,5.9,114.5,12.2,0.801,0.283,0.158,0.133,0.225,0.199,0.475,0.641,0.385,0.352,0.402,0.356,0.571,0.077,489,0.862,0.242,0.344,11,0
Los Angeles Clippers,93.82,97.94,-4.12,91.54,102.1,106.6,-4.5,0.467,0.481,0.517,0.525,27,55,49.74,101.93,111.67,28,0.467,0.481,0.252,0.222,0.165,0.146,0.291,0.298,102.1,106.6,5.18,6.03,13.38,13.88,32.67,32.65,21.3,24.42,7.62,8.65,6.12,5.55,16.54,14.59,23.68,24.48,2,130,17231,16276,28,12,6,2,5,4,0,2,1,0,13,14,0,0,32.9,35.2,79.5,0.443,3.4,10.9,0.31,21.2,28,0.76,15.9,20.6,12.3,31.4,43.7,21.7,7,6.3,94.9,11.1,0.818,0.317,0.194,0.137,0.17,0.182,0.46,0.591,0.403,0.334,0.382,0.331,0.517,0.05,300,0.867,0.152,0.341,19,0
Indiana Pacers,96.83,93.34,3.49,91.83,104.25,100.66,3.6,0.469,0.458,0.522,0.506,48,34,51.14,112.63,102.98,61,0.469,0.458,0.263,0.228,0.151,0.159,0.29,0.277,104.25,100.66,4.98,5.35,13.18,13.23,34.43,32.33,25.08,22.3,9.14,8.15,5.82,6.75,15.1,15.89,23.78,25.29,4,149,16353,16856,17,15,10,4,1,2,0,1,0,1,3,1,1,1,32.6,36.8,81.2,0.453,4.7,14.1,0.331,24.1,31.1,0.776,14.6,20.9,12,32.6,44.6,24.7,9.4,5.5,102.4,12,0.831,0.278,0.163,0.163,0.226,0.169,0.461,0.632,0.357,0.369,0.392,0.339,0.623,0.043,270,0.876,0.222,0.31,5,0
Houston Rockets,93.76,92.28,1.48,89.21,103.78,101.9,1.88,0.474,0.462,0.522,0.506,43,39,51.85,104.57,102.31,45,0.474,0.462,0.243,0.209,0.162,0.14,0.303,0.276,103.78,101.9,5.93,5.2,13.82,13.18,34.61,31.69,20.33,22.66,8.02,8.93,6.66,5.13,16.17,14.02,21.63,24.16,0,131,13785,17919,33,27,1,0,3,2,0,1,0,0,9,7,0,1,33.3,35.6,81.9,0.435,5.9,17.1,0.345,22,27.3,0.805,14.8,17.8,11.8,30.9,42.7,19.9,7.5,6,99.1,12.1,0.804,0.305,0.145,0.126,0.229,0.196,0.462,0.605,0.38,0.366,0.376,0.346,0.466,0.065,381,0.879,0.24,0.342,20,1
Golden State Warriors,102.44,103.57,-1.13,94.81,107.64,108.75,-1.11,0.472,0.482,0.526,0.525,38,44,51.6,114.48,118.21,37,0.472,0.482,0.267,0.22,0.16,0.139,0.35,0.321,107.64,108.75,5.45,5.61,16.45,15.42,32.62,30.58,21.94,24.76,7.61,9.09,6.48,6.29,15.97,13.87,22.89,24.79,2,123,15486,16297,45,9,5,3,2,2,0,2,0,2,11,11,0,0,32.6,41.1,91.8,0.448,5.5,15.9,0.345,24.4,31.1,0.783,15.7,20.8,15.9,32.7,48.6,19.5,6.9,4.8,112,11.6,0.822,0.271,0.207,0.123,0.222,0.178,0.462,0.638,0.361,0.405,0.373,0.344,0.517,0.046,300,0.819,0.217,0.336,11,0
Detroit Pistons,91.37,87.68,3.68,87.07,103.75,99.5,4.25,0.473,0.461,0.523,0.506,50,32,49.56,102.22,96.29,54,0.473,0.461,0.248,0.225,0.144,0.152,0.259,0.26,103.75,99.5,7.38,4,12.23,11.89,33.86,34.99,22.44,20.77,7.7,7.86,6.48,4.91,14.44,15.2,24.21,26.35,1,111,20470,16054,20,9,2,3,3,1,0,3,1,2,1,3,1,1,31.1,31.4,73.5,0.428,5.7,16.1,0.354,19.9,26,0.766,12.2,19.7,10.3,32.3,42.6,19.3,6.9,6.7,88.5,13.1,0.763,0.264,0.135,0.145,0.219,0.237,0.452,0.568,0.42,0.364,0.393,0.358,0.553,0.032,179,0.792,0.241,0.362,10,1
Denver Nuggets,84.16,92.44,-8.28,91.18,92.06,101.46,-9.4,0.428,0.477,0.469,0.533,17,65,51.26,90.38,105.23,43,0.428,0.477,0.198,0.291,0.19,0.179,0.313,0.267,92.06,101.46,3.06,5.62,14.84,11.53,31.52,32.7,23.17,23.61,9.5,9.93,5.63,7.2,19.01,17.92,27.43,23.95,0,111,14825,16300,27,22,3,1,9,3,1,2,1,1,14,8,0,1,28.7,33.8,80.3,0.421,2.4,8.1,0.294,16.6,23,0.721,16.7,24.4,12.5,29.2,41.7,22.9,8.4,4.3,86.6,11.2,0.874,0.297,0.171,0.135,0.272,0.126,0.43,0.567,0.341,0.38,0.361,0.278,0.629,0.068,390,0.825,0.242,0.251,8,0
Dallas Mavericks,102.98,95.2,7.78,92.72,110.5,102.5,8,0.498,0.473,0.543,0.515,60,22,48.11,119.72,104.96,52,0.498,0.473,0.213,0.221,0.119,0.165,0.254,0.291,110.5,102.5,8.32,6.26,11.93,13.72,33.29,35.22,24.04,23.39,8.72,7.17,5.88,4.23,11.87,16.53,22.64,22.93,5,123,19913,17618,9,27,10,6,1,2,0,2,0,2,3,5,1,1,30.7,42.1,91.5,0.46,8.2,21.3,0.383,21.7,25.2,0.862,11.3,18.8,10.3,32.8,43.2,23.6,8.1,5.5,114.1,13.2,0.761,0.253,0.131,0.136,0.241,0.239,0.475,0.622,0.416,0.408,0.391,0.381,0.515,0.032,211,0.843,0.242,0.372,11,0
Cleveland Cavaliers,91.4,101.02,-9.62,94.35,96.14,106.31,-10.18,0.444,0.484,0.491,0.534,17,65,51.67,99.85,117.6,35,0.444,0.484,0.223,0.252,0.183,0.143,0.31,0.268,96.14,106.31,3.76,5.49,14.34,11.96,32.61,31.97,21.96,25.31,8.16,10.29,6.68,6.34,18.34,14.26,23.91,21.93,0,103,11497,16088,16,35,4,1,3,2,0,2,1,1,15,9,0,0,31.7,37.6,87.1,0.431,2.6,7.9,0.332,21.6,28.6,0.755,18,21.1,13.9,30.6,44.4,22.2,7.5,6.4,99.4,11.1,0.867,0.303,0.159,0.188,0.216,0.133,0.437,0.596,0.331,0.361,0.359,0.327,0.572,0.064,381,0.853,0.335,0.373,21,0
Chicago Bulls,94.95,100.09,-5.13,93.74,100.03,105.53,-5.5,0.471,0.47,0.512,0.521,30,52,48.87,104.24,115.06,23,0.471,0.47,0.217,0.263,0.171,0.15,0.277,0.305,100.03,105.53,4.48,5.54,12.65,14.36,32.64,33.07,22.89,25.06,7.77,9.88,5.92,5.31,17.09,14.98,26.05,23.09,1,133,19617,16269,37,21,4,0,3,2,1,4,1,1,12,14,0,0,30.1,38.4,86.6,0.444,5.1,14.6,0.351,19.2,26,0.736,16.9,23.3,10.3,29.6,39.9,23.1,6.8,5.4,101.2,10.9,0.852,0.324,0.169,0.148,0.211,0.148,0.462,0.59,0.405,0.366,0.38,0.35,0.562,0.059,370,0.848,0.26,0.363,7,0
Boston Celtics,92.67,93.06,-0.39,90.87,101.21,101.73,-0.52,0.47,0.471,0.514,0.518,44,38,47.38,98.65,106.1,36,0.47,0.471,0.227,0.242,0.147,0.167,0.236,0.275,101.21,101.73,9.58,6.17,11.31,12.49,32.91,36.66,20.98,24.32,9.59,8.23,4.04,4.89,14.72,16.74,23.42,23.97,1,124,17294,17264,12,20,8,3,2,1,0,3,0,3,6,8,1,1,33,36.9,88.5,0.417,9.4,28,0.336,21.5,28.7,0.75,14.7,19.7,10.2,31.4,41.6,21.1,8.4,3.9,104.7,13.8,0.669,0.268,0.14,0.109,0.152,0.331,0.455,0.618,0.319,0.346,0.371,0.334,0.496,0.034,204,0.823,0.23,0.343,17,1
Atlanta Hawks,94.07,97.63,-3.56,91.64,101.5,105.27,-3.77,0.476,0.469,0.527,0.514,35,47,50.01,105.78,110.01,28,0.476,0.469,0.248,0.222,0.172,0.134,0.279,0.296,101.5,105.27,5.29,5.87,12.33,14.11,33.66,31.82,22.09,23.29,8.04,9.7,6.22,5.38,17.18,13.41,23.46,21.93,0,106,12894,16295,45,12,4,1,3,0,0,2,0,1,11,12,0,0,35,37.6,83.5,0.45,5.6,15.5,0.358,21.6,25.9,0.833,16.5,19,9.7,32,41.7,22.4,7.7,6.4,102.3,11.9,0.823,0.269,0.158,0.181,0.214,0.177,0.464,0.584,0.381,0.423,0.41,0.352,0.543,0.048,297,0.856,0.276,0.397,9,0
