Team,Pts,Opp Pts,Avg. Mrg,Pace,Off Eff,Def Eff,Net Rtg,EFg%,Opp EFg%,Ts%,Opp Ts%,Win,Loss,Reb Rate,Eff Pts,Opp Eff Pts,Future Wins,Team EFg%,Opp EFg%,Team FT Rate,Opp FT Rate%,Team TO Rate,Opp TO Rate,Team Off. Reb.%,Opp Reb Rate%,Pts,Opp. Pts,3PTM,Opp. 3PTM,OReb,Opp. OReb,DReb,Opp. DReb,Ast,Opp. Ast,Stl,Opp. Stl,Blk,Opp. Blk,TO,Opp. TO,Foul,Opp. Foul,4 Point Plays,'And one' Plays,Avg. Home Attendance,Avg. Away Attendance,Defensive Goaltending Vio.,Kicked Ball Vio.,Ejections,Won Without Trailing,Lost Without Taking Lead,Player Signings,Large Player Signings,Draft Picks,Top 10 Draft Picks,Trades,Seed Number,Future Seed Number,Playoff,Future Playoff,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Dist.,2P,0--3,3--10,10--16,16 <3,3P,2P,0--3,3--10,10--16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Washington Wizards,96.06,103.52,-7.46,90.98,105.45,113.73,-8.28,0.48,0.533,0.524,0.572,19,63,48.96,104.45,121.73,26,0.48,0.533,0.225,0.227,0.148,0.147,0.277,0.286,105.45,113.73,5.29,9.03,12.8,12.51,31.19,33.37,21.97,27,8.29,7.95,4.89,5.77,14.83,14.71,22.48,21.95,2,159,16613,17157,31,10,2,0,5,1,0,1,0,2,15,14,0,0,31.5,37.7,83.9,0.449,5.5,16.5,0.331,19,24.4,0.78,13.4,18.7,11.3,30,41.3,21.6,7.6,3.9,99.8,11.9,0.82,0.317,0.154,0.107,0.242,0.18,0.476,0.614,0.386,0.383,0.395,0.33,0.506,0.043,276,0.825,0.192,0.326,6,0
Utah Jazz,103.56,100.92,2.65,93.18,110.03,107.26,2.77,0.504,0.505,0.555,0.552,48,34,50.47,119.33,109.7,53,0.504,0.505,0.274,0.262,0.152,0.166,0.282,0.273,110.03,107.26,5.08,6.92,12.18,11.77,31.39,31.02,26.22,21.26,9.32,8.53,4.85,5.5,15.15,16.63,23.71,25.56,2,160,19903,17045,17,32,1,1,4,0,0,2,0,0,8,5,1,1,31.2,41.6,85.7,0.485,5.1,14.3,0.354,23,29.4,0.781,14.1,19.8,11.5,29.4,41,26.5,8.4,3.6,111.2,11.2,0.831,0.379,0.101,0.091,0.259,0.169,0.5,0.614,0.371,0.422,0.412,0.349,0.609,0.068,412,0.893,0.205,0.4,9,0
Toronto Raptors,99.04,101.85,-2.82,92.09,106.87,110.04,-3.17,0.494,0.511,0.542,0.549,33,49,49.12,112,115.85,40,0.494,0.511,0.23,0.202,0.139,0.138,0.24,0.263,106.87,110.04,6.3,8.29,10.55,11.79,33.07,33.45,24.15,24.86,6.88,6.86,5.13,5.09,13.87,13.77,20.96,21.67,3,141,18773,16785,16,25,2,3,5,2,1,1,1,4,13,9,0,0,33.8,39.1,82.9,0.472,6.1,15.8,0.389,20.4,24.3,0.839,12.6,16.3,9.1,32.3,41.4,24.3,6.6,5.5,104.7,13.1,0.807,0.264,0.117,0.132,0.294,0.193,0.478,0.601,0.42,0.375,0.438,0.372,0.543,0.054,318,0.91,0.247,0.421,16,0
San Antonio Spurs,97.05,93.29,3.76,88.13,108.88,104.9,3.98,0.513,0.487,0.548,0.525,54,28,50.38,110.56,102.83,50,0.513,0.487,0.191,0.191,0.125,0.127,0.221,0.22,108.88,104.9,8.55,6.13,9.96,10.22,36.09,35.24,23.75,20.31,6.49,7.28,4.5,4.83,12.49,12.67,21.15,20.72,1,106,18269,17663,3,28,0,0,0,5,1,3,0,1,3,7,1,1,29.8,41.7,88,0.474,8.2,20.4,0.401,15.8,21,0.751,11.3,15.2,8.1,32.1,40.1,23.4,4.9,3.8,107.4,13.4,0.752,0.253,0.14,0.109,0.25,0.248,0.492,0.616,0.456,0.405,0.424,0.386,0.489,0.012,75,0.885,0.376,0.394,9,0
Sacramento Kings,100.59,109.34,-8.76,94.18,105.6,115.02,-9.43,0.491,0.526,0.542,0.571,17,65,47.04,105.59,125.31,25,0.491,0.526,0.252,0.269,0.155,0.144,0.245,0.301,105.6,115.02,7.5,7.44,10.75,13.06,30.29,33.25,20.73,23.04,7.29,9.03,4.47,5.43,15.53,14.43,24.45,22.28,3,116,12687,17228,15,25,2,2,3,1,0,3,1,1,15,14,0,0,32.9,36.9,80,0.461,6.5,16.8,0.39,22,27.3,0.803,15,21.9,9.9,29.2,39.1,21,6.9,3.9,102.2,12.7,0.762,0.29,0.141,0.103,0.229,0.238,0.472,0.596,0.378,0.408,0.402,0.368,0.481,0.044,268,0.79,0.269,0.421,17,0
Portland Trailblazers,99.43,94.09,5.34,86.58,113.96,107.71,6.26,0.511,0.499,0.553,0.544,54,28,53.47,112.87,101.49,50,0.511,0.499,0.234,0.227,0.139,0.145,0.326,0.25,113.96,107.71,8.33,6.8,14.82,10.97,32.99,30.57,23.3,22.2,7.69,7.18,5.62,4.45,13.89,14.51,23.36,24.19,2,106,20524,16995,34,26,0,6,1,1,1,4,0,2,4,6,1,1,29.9,39.2,81.8,0.479,6.2,15.9,0.392,18.5,23.8,0.779,11.4,18.2,13.9,28.1,41.9,21.5,6.7,4.9,103.1,12.8,0.761,0.294,0.126,0.109,0.231,0.239,0.49,0.621,0.419,0.382,0.414,0.383,0.467,0.075,437,0.901,0.395,0.402,29,1
Phoenix Suns,109.44,107.51,1.93,95.59,114.06,112.01,2.05,0.545,0.511,0.584,0.554,46,36,50.55,123.74,117.67,54,0.545,0.511,0.25,0.233,0.161,0.141,0.277,0.283,114.06,112.01,7.03,7.95,11.44,12.62,32.03,29.88,24.21,22.12,7.49,8.97,5.34,4.69,16.05,14.06,21.49,23.85,0,173,18422,18122,21,31,6,4,5,1,0,3,0,2,9,3,0,1,32.4,43.9,83.6,0.525,6.8,16.7,0.405,22.1,29.4,0.751,15.7,18.1,9.4,31.9,41.3,26,6.7,5.1,116.6,10.9,0.784,0.363,0.164,0.1,0.158,0.216,0.537,0.665,0.442,0.387,0.437,0.383,0.52,0.078,471,0.796,0.297,0.394,18,0
Philadelphia 76ers,97.4,97.33,0.07,90.18,107.6,108,-0.4,0.485,0.507,0.532,0.548,41,41,51.18,108.24,108.23,27,0.485,0.507,0.253,0.216,0.149,0.165,0.313,0.286,107.6,108,4.59,7.92,14,12.65,31.47,30.92,22.19,24.34,8.86,7.78,5.59,5.41,14.91,16.48,22.23,24.17,0,129,15802,17337,39,28,1,2,1,1,0,1,0,1,6,13,1,0,32.1,38.3,80.9,0.473,3.4,10.9,0.308,19.4,25.9,0.75,14,17.2,12,29.3,41.3,22.4,7.9,4.8,99.4,10.8,0.836,0.382,0.112,0.138,0.204,0.164,0.486,0.598,0.385,0.397,0.394,0.318,0.516,0.074,458,0.809,0.285,0.348,14,1
Orlando Magic,101.05,94.35,6.7,91.71,109.91,102.44,7.47,0.52,0.465,0.559,0.508,59,23,50.66,112.18,100.24,59,0.52,0.465,0.251,0.209,0.147,0.135,0.24,0.241,109.91,102.44,10.84,5.88,10.86,11.44,36.19,34.3,21.13,19.7,7.56,7.47,5.82,4.08,14.68,13.53,22.07,24.36,5,131,17043,17913,52,16,3,8,1,3,0,0,0,2,3,2,1,1,33.4,38.8,83.5,0.465,10.8,28,0.384,23.3,32.8,0.711,15,19.6,10.1,34.8,44.9,21.4,7.1,5.9,111.7,13.6,0.665,0.282,0.127,0.101,0.155,0.335,0.495,0.623,0.405,0.424,0.381,0.381,0.417,0.054,327,0.871,0.303,0.395,11,0
Oklahoma City Thunder,96.98,103.07,-6.1,94.06,102.45,108.97,-6.53,0.471,0.514,0.521,0.553,23,59,50.84,105.59,116.65,50,0.471,0.514,0.242,0.216,0.164,0.143,0.286,0.262,102.45,108.97,4.23,6.76,12.87,11.4,32.17,32.18,21.43,22.81,7.83,8.99,4.78,5.25,16.39,14.3,21.32,21.35,0,137,18704,16680,11,27,1,0,7,1,0,2,1,3,13,8,0,1,32,38.6,86.1,0.448,4.8,13.3,0.36,22.2,27.2,0.816,16,17.8,11.5,30.5,42,18.9,7.5,4.1,104.1,11,0.859,0.338,0.134,0.138,0.248,0.141,0.463,0.606,0.358,0.388,0.368,0.346,0.515,0.071,429,0.878,0.217,0.345,12,0
New York Knicks,105.21,107.82,-2.61,96.44,108.41,110.9,-2.49,0.503,0.52,0.544,0.558,32,50,47.76,111.6,124.38,29,0.503,0.52,0.21,0.215,0.143,0.143,0.244,0.273,108.41,110.9,10.34,7.16,11.45,11.97,31.98,35.45,21.84,22.25,7.67,8.2,2.56,5.48,14.33,14.3,21.01,19.97,8,147,19288,17804,7,21,3,2,6,0,0,1,1,2,14,11,0,0,33.8,37.6,83.1,0.452,9.1,25,0.363,17.7,22.4,0.792,13.8,18.1,11.4,32.2,43.6,21.7,6.9,2.4,101.9,12.8,0.678,0.349,0.091,0.084,0.154,0.322,0.486,0.576,0.412,0.364,0.391,0.36,0.447,0.037,235,0.843,0.239,0.382,19,0
New Orleans Hornets,95.82,94.27,1.55,87.59,108.97,107.26,1.72,0.501,0.496,0.548,0.54,49,33,49.8,108.33,103.57,37,0.501,0.496,0.232,0.23,0.133,0.143,0.246,0.251,108.97,107.26,7.71,7.98,11.12,11.41,34.02,34.12,22.32,22.88,8.23,6.61,4.69,4.02,13.32,14.28,23.09,23.24,0,123,16969,17749,12,18,5,4,3,1,0,1,0,3,7,11,1,0,33.4,39.2,83.5,0.47,6.3,17.2,0.364,20.1,24.3,0.827,11.6,17.6,10.3,29.9,40.2,22.3,7.4,4.3,104.8,12.8,0.76,0.276,0.134,0.137,0.213,0.24,0.487,0.613,0.451,0.387,0.41,0.364,0.471,0.056,325,0.899,0.33,0.414,9,0
New Jersey Nets,98.1,100.54,-2.44,89.85,108.35,111.17,-2.81,0.497,0.509,0.543,0.558,34,48,49.02,107.7,114.21,12,0.497,0.509,0.236,0.272,0.137,0.142,0.252,0.265,108.35,111.17,8.78,8.09,11.45,11.76,32.53,34.02,22.04,24.18,7.53,7.65,5.27,5.3,13.67,14.19,24.76,22.65,2,144,15148,17587,16,16,1,0,4,0,0,1,0,1,11,15,0,0,31.1,39,86.3,0.452,7.4,20.2,0.366,22.7,28.2,0.807,13.7,20.7,10.6,29.6,40.2,23.2,6.8,5,108.1,12.8,0.735,0.33,0.088,0.102,0.215,0.265,0.473,0.578,0.416,0.375,0.383,0.376,0.478,0.051,304,0.842,0.307,0.451,9,0
Minnesota Timberwolves,97.79,102.71,-4.91,91.52,106.18,111.65,-5.47,0.481,0.515,0.526,0.561,24,58,50.48,104.94,118.39,15,0.481,0.515,0.222,0.254,0.147,0.132,0.278,0.25,106.18,111.65,7.19,7.11,12.91,10.78,32.34,33.66,22.17,23.4,6.78,8.09,4.26,6.42,14.65,13.2,23.64,21.77,0,131,14513,16843,9,20,2,1,2,1,0,6,2,6,11,15,0,0,30.4,38.9,86.8,0.448,6.5,17.9,0.364,18,22.8,0.792,13,19.4,11.3,29.9,41.2,21.3,5.5,3.9,102.3,11.9,0.773,0.332,0.137,0.107,0.196,0.227,0.467,0.571,0.4,0.365,0.395,0.353,0.491,0.031,186,0.875,0.292,0.411,18,0
