Team,Pts,Opp Pts,Avg. Mrg,Pace,Off Eff,Def Eff,Net Rtg,EFg%,Opp EFg%,Ts%,Opp Ts%,Win,Loss,Reb Rate,Eff Pts,Opp Eff Pts,Future Wins,Team EFg%,Opp EFg%,Team FT Rate,Opp FT Rate%,Team TO Rate,Opp TO Rate,Team Off. Reb.%,Opp Reb Rate%,Pts,Opp. Pts,3PTM,Opp. 3PTM,OReb,Opp. OReb,DReb,Opp. DReb,Ast,Opp. Ast,Stl,Opp. Stl,Blk,Opp. Blk,TO,Opp. TO,Foul,Opp. Foul,4 Point Plays,'And one' Plays,Avg. Home Attendance,Avg. Away Attendance,Defensive Goaltending Vio.,Kicked Ball Vio.,Ejections,Won Without Trailing,Lost Without Taking Lead,Player Signings,Large Player Signings,Draft Picks,Top 10 Draft Picks,Trades,Seed Number,Future Seed Number,Playoff,Future Playoff,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Dist.,2P,0--3,3--10,10--16,16 <3,3P,2P,0--3,3--10,10--16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Washington Wizards,98.54,97.82,0.72,93.09,104.39,103.64,0.75,0.499,0.481,0.534,0.521,46,36,51.72,114.73,104.92,41,0.499,0.481,0.192,0.21,0.152,0.141,0.249,0.227,104.39,103.64,6.42,8.49,11.15,10.61,36.19,33.58,25.44,21.13,7.77,8.46,4.87,4.52,15.23,14.11,22.05,20.8,4,105,18239,18253,10,26,2,5,2,2,0,2,0,2,5,10,1,0,30,40.2,85.4,0.47,6.5,17.6,0.369,17.4,23.3,0.745,15.3,18.3,9.2,33.8,43.1,27.9,8.3,4.7,104.2,13.2,0.679,0.29,0.158,0.08,0.151,0.321,0.506,0.636,0.392,0.386,0.441,0.38,0.591,0.038,225,0.918,0.275,0.421,3,0
Utah Jazz,94.78,94.72,0.06,90.06,105.43,105.24,0.18,0.494,0.492,0.531,0.529,38,44,52.8,107.49,103.68,40,0.494,0.492,0.214,0.198,0.158,0.139,0.29,0.237,105.43,105.24,8.25,8.18,13.32,10.96,35.35,32.51,22.06,21.57,8.47,9.12,6.59,5.14,15.79,13.93,21.39,21.65,0,120,18831,17135,26,44,2,1,5,3,0,3,0,1,11,9,0,0,30.6,38.3,84,0.456,6.7,19.3,0.348,20,26.8,0.747,15,17.4,12.1,32.7,44.8,20.6,7.2,6,103.4,13.3,0.72,0.279,0.145,0.103,0.193,0.28,0.488,0.623,0.383,0.408,0.416,0.327,0.565,0.041,267,0.877,0.204,0.374,16,0
Toronto Raptors,103.99,100.92,3.07,90.13,114.36,110.94,3.43,0.508,0.506,0.553,0.542,49,33,49.46,115.33,113.34,56,0.508,0.506,0.232,0.208,0.134,0.151,0.256,0.267,114.36,110.94,9.74,8.49,11.82,12.36,33.88,34.31,22.81,25.07,8.25,7.6,4.79,5.54,13.41,15.12,22.96,22.36,5,107,19752,17523,17,52,2,3,2,8,1,1,0,2,4,2,1,1,29.3,39.9,85.4,0.467,7.2,20,0.358,20.1,25.5,0.789,13.1,20.7,11,32.1,43.2,21.3,7.2,4.6,107.1,12.4,0.76,0.268,0.213,0.116,0.164,0.24,0.489,0.617,0.444,0.406,0.396,0.331,0.488,0.04,243,0.887,0.284,0.391,24,0
San Antonio Spurs,103.18,96.99,6.2,93.47,108.87,102.58,6.29,0.517,0.484,0.555,0.521,55,27,50.88,121.99,106.65,67,0.517,0.484,0.2,0.191,0.142,0.143,0.234,0.227,108.87,102.58,8.71,7.2,10.37,10.47,35.68,34.09,25.73,21.91,8.45,8.37,5.7,4.67,14.22,14.3,20.12,20.81,1,132,18606,17972,8,34,2,7,1,5,1,2,0,2,6,2,1,1,27.9,41.1,85.1,0.483,7.3,18.8,0.388,17.4,22.2,0.783,12.8,16.9,10,35.7,45.7,23.2,9,7,107,12.6,0.731,0.308,0.156,0.099,0.163,0.269,0.474,0.589,0.394,0.373,0.401,0.353,0.525,0.038,237,0.842,0.216,0.386,18,2
Sacramento Kings,101.34,105.05,-3.71,92.71,108.34,112.12,-3.77,0.49,0.507,0.542,0.543,29,53,51.75,109.95,119.06,33,0.49,0.507,0.276,0.2,0.167,0.134,0.265,0.248,108.34,112.12,6.01,9.35,11.67,11.7,35.57,32.27,21.73,24.89,7.17,9.27,4.22,6.61,16.69,13.37,22.11,25.49,1,114,16587,17515,27,31,3,3,1,10,2,1,1,2,13,10,0,0,31.1,40.4,87.4,0.462,6.3,17.4,0.364,23.9,30.7,0.776,16.8,20.8,10.3,33.9,44.2,21.5,7.5,4.5,111,13.2,0.774,0.263,0.153,0.124,0.234,0.226,0.45,0.571,0.381,0.388,0.391,0.318,0.521,0.032,202,0.791,0.177,0.39,16,0
Portland Trailblazers,102.79,98.56,4.23,93.72,108.72,104.19,4.53,0.508,0.476,0.544,0.513,51,31,50.7,117.16,109.73,44,0.508,0.476,0.181,0.182,0.14,0.123,0.242,0.238,108.72,104.19,10.41,6.76,11.34,11.63,37.16,35.5,23.2,21.52,6.79,8.44,4.79,3.83,14.02,12.3,19.27,19.78,8,110,19546,17657,19,17,2,5,0,5,1,1,0,5,4,5,1,1,32.3,41.8,92.7,0.45,10.2,28.7,0.356,18.3,22.2,0.825,12.9,15,11,34.3,45.2,22.5,6.4,4.7,112.1,13.2,0.666,0.295,0.156,0.092,0.124,0.334,0.504,0.649,0.358,0.387,0.432,0.367,0.509,0.064,393,0.803,0.289,0.364,4,1
Phoenix Suns,102.4,103.31,-0.9,96.12,105.46,106.58,-1.12,0.501,0.497,0.537,0.539,39,43,48.78,112.24,114.28,23,0.501,0.497,0.191,0.221,0.15,0.154,0.245,0.265,105.46,106.58,8.77,7.96,11.27,11.97,33.2,34.8,20.84,21.82,8.79,8.19,4.84,4.24,14.97,15.43,21.9,20.94,1,133,16923,17586,26,53,6,0,2,5,1,2,0,2,10,14,0,0,30.7,38.2,83.4,0.459,6.9,21.1,0.327,16.4,21.7,0.755,15.2,19.9,10.7,33.7,44.4,22.5,8.8,4.9,99.7,13.3,0.704,0.287,0.142,0.094,0.182,0.296,0.509,0.661,0.379,0.42,0.417,0.352,0.482,0.057,364,0.857,0.229,0.393,10,1
Philadelphia 76ers,91.78,100.6,-8.82,95.56,95.73,105.04,-9.32,0.459,0.497,0.494,0.539,18,64,48.13,97.2,117.89,10,0.459,0.497,0.194,0.225,0.176,0.166,0.256,0.27,95.73,105.04,8.8,8.35,12.41,11.91,32.17,36.19,21.38,24.65,10.02,9.92,6.17,5.74,17.6,16.61,22.54,21.02,2,110,13941,17665,34,32,0,1,12,3,0,6,1,3,14,15,0,0,28.8,34,83.3,0.408,7.9,25.2,0.312,15.4,23.2,0.665,17,20,11,32,43,21.7,10.3,5.7,91.3,12.7,0.716,0.297,0.177,0.09,0.151,0.284,0.476,0.624,0.349,0.397,0.38,0.325,0.506,0.057,358,0.839,0.236,0.344,22,1
Orlando Magic,95.7,101.42,-5.72,92.23,103.36,109.57,-6.21,0.494,0.514,0.525,0.551,25,57,49.03,105.05,117.82,35,0.494,0.514,0.168,0.21,0.155,0.15,0.231,0.24,103.36,109.57,7.3,8.99,10.83,10.87,34.34,36.09,22.29,25.31,8.52,8.37,4.14,5.81,15.48,15.02,22.58,19.33,1,108,16785,17586,11,42,2,2,5,3,0,2,1,4,13,11,0,0,32.2,40.6,87.9,0.462,6.6,17.9,0.366,15.3,20.5,0.744,14.4,18.9,10.4,33.5,43.9,22.3,8.2,3.7,103,12.2,0.71,0.323,0.192,0.065,0.128,0.29,0.468,0.601,0.329,0.381,0.386,0.344,0.512,0.043,273,0.815,0.24,0.396,20,0
Oklahoma City Thunder,103.95,101.77,2.18,94.5,109.17,107.07,2.1,0.492,0.489,0.532,0.529,45,37,52.66,116.72,112.06,55,0.492,0.489,0.214,0.213,0.148,0.136,0.289,0.244,109.17,107.07,8.09,8.74,13.49,11.77,36.42,33.18,21.53,23.29,7.67,8.26,5.8,4.82,14.75,13.6,23.43,21.49,3,124,18203,17957,28,27,3,7,2,1,0,2,0,3,9,3,0,1,28.9,42.9,93.2,0.461,6.8,20.4,0.335,23.3,30.7,0.76,16.2,21.6,14.9,37,51.9,22.7,7.3,6.8,116,13.5,0.689,0.286,0.145,0.104,0.154,0.311,0.514,0.675,0.371,0.443,0.397,0.398,0.602,0.062,396,0.821,0.221,0.46,24,0
